clique size,fraction correct
70,1.0
69,1.0
68,1.0
67,1.0
66,1.0
65,1.0
64,1.0
63,1.0
62,1.0
61,1.0
60,1.0
59,1.0
58,1.0
57,1.0
56,1.0
55,1.0
54,1.0
53,1.0
52,1.0
51,1.0
50,1.0
49,1.0
48,1.0
47,1.0
46,1.0
45,1.0
44,0.96875
43,1.0
42,0.96875
41,0.96875
40,0.84375
39,0.875
38,0.9375
37,0.96875
36,0.90625
35,0.9375
34,0.90625
33,0.90625
32,0.84375
31,0.9375
30,0.84375
29,0.875
28,0.625
27,0.65625
26,0.6875
25,0.6875
24,0.71875
23,0.65625
22,0.78125
21,0.71875
20,0.53125
19,0.6875
18,0.4375
17,0.46875
16,0.59375
15,0.4375
14,0.59375
13,0.53125
12,0.40625
11,0.59375
10,0.59375
9,0.40625
8,0.46875
7,0.4375
6,0.59375
5,0.5625
4,0.5
3,0.59375
2,0.375
1,0.5625
