clique size,fraction correct
70,1.0
69,1.0
68,1.0
67,1.0
66,1.0
65,1.0
64,1.0
63,1.0
62,1.0
61,1.0
60,1.0
59,1.0
58,1.0
57,1.0
56,1.0
55,1.0
54,1.0
53,1.0
52,1.0
51,1.0
50,1.0
49,1.0
48,1.0
47,1.0
46,1.0
45,1.0
44,1.0
43,1.0
42,1.0
41,0.9375
40,1.0
39,0.96875
38,0.96875
37,0.90625
36,0.9375
35,0.78125
34,0.84375
33,0.84375
32,0.875
31,0.71875
30,0.84375
29,0.71875
28,0.78125
27,0.75
26,0.6875
25,0.625
24,0.59375
23,0.53125
22,0.5625
21,0.6875
20,0.59375
19,0.65625
18,0.375
17,0.53125
16,0.65625
15,0.46875
14,0.5
13,0.40625
12,0.46875
11,0.59375
10,0.625
9,0.40625
8,0.5625
7,0.4375
6,0.59375
5,0.5
4,0.4375
3,0.4375
2,0.34375
1,0.46875
