clique size,fraction correct
210,1.0
209,0.9375
208,1.0
207,1.0
206,1.0
205,1.0
204,0.96875
203,1.0
202,0.96875
201,1.0
200,1.0
199,0.96875
198,1.0
197,1.0
196,0.96875
195,0.96875
194,0.96875
193,0.96875
192,1.0
191,1.0
190,1.0
189,1.0
188,0.96875
187,1.0
186,0.96875
185,1.0
184,1.0
183,1.0
182,1.0
181,1.0
180,1.0
179,1.0
178,1.0
177,1.0
176,1.0
175,0.9375
174,1.0
173,0.96875
172,1.0
171,1.0
170,0.9375
169,1.0
168,1.0
167,1.0
166,1.0
165,1.0
164,1.0
163,0.96875
162,1.0
161,1.0
160,1.0
159,1.0
158,1.0
157,1.0
156,1.0
155,0.96875
154,1.0
153,1.0
152,1.0
151,1.0
150,1.0
149,1.0
148,1.0
147,1.0
146,0.9375
145,1.0
144,1.0
143,1.0
142,0.96875
141,1.0
140,1.0
139,0.96875
138,1.0
137,0.9375
136,1.0
135,0.9375
134,1.0
133,0.96875
132,1.0
131,1.0
130,0.96875
129,1.0
128,0.9375
127,0.96875
126,0.9375
125,0.90625
124,0.96875
123,0.96875
122,0.9375
121,1.0
120,0.96875
119,1.0
118,0.96875
117,1.0
116,0.90625
115,0.90625
114,0.90625
113,0.875
112,0.875
111,0.875
110,1.0
109,0.90625
108,0.90625
107,0.8125
106,0.90625
105,0.84375
104,0.8125
103,0.96875
102,0.90625
101,0.8125
100,0.78125
99,0.9375
98,0.8125
97,0.84375
96,0.78125
95,0.9375
94,0.875
93,0.75
92,0.75
91,0.6875
90,0.75
89,0.71875
88,0.65625
87,0.65625
86,0.6875
85,0.59375
84,0.6875
83,0.6875
82,0.5625
81,0.71875
80,0.75
79,0.71875
78,0.625
77,0.78125
76,0.65625
75,0.5625
74,0.53125
73,0.46875
72,0.75
71,0.5625
70,0.65625
69,0.625
68,0.46875
67,0.59375
66,0.53125
65,0.625
64,0.59375
63,0.53125
62,0.65625
61,0.4375
60,0.5
59,0.53125
58,0.53125
57,0.59375
56,0.40625
55,0.46875
54,0.65625
53,0.5625
52,0.5625
51,0.59375
50,0.6875
49,0.53125
48,0.53125
47,0.46875
46,0.65625
45,0.53125
44,0.5625
43,0.625
42,0.59375
41,0.46875
40,0.5
39,0.59375
38,0.40625
37,0.4375
36,0.625
35,0.59375
34,0.5
33,0.46875
32,0.65625
31,0.53125
30,0.46875
29,0.59375
28,0.5
27,0.3125
26,0.53125
25,0.625
24,0.375
23,0.4375
22,0.5
21,0.46875
20,0.625
19,0.5625
18,0.71875
17,0.46875
16,0.40625
15,0.46875
14,0.5
13,0.5625
12,0.625
11,0.5625
10,0.5
9,0.4375
8,0.5
7,0.40625
6,0.625
5,0.65625
4,0.375
3,0.53125
2,0.59375
1,0.53125
