clique size,fraction correct
70,1.0
69,1.0
68,1.0
67,1.0
66,1.0
65,1.0
64,1.0
63,1.0
62,1.0
61,1.0
60,1.0
59,1.0
58,1.0
57,1.0
56,1.0
55,1.0
54,1.0
53,1.0
52,1.0
51,1.0
50,1.0
49,1.0
48,1.0
47,0.9375
46,1.0
45,0.96875
44,1.0
43,1.0
42,1.0
41,0.9375
40,0.96875
39,0.96875
38,0.8125
37,0.96875
36,0.9375
35,0.875
34,0.875
33,0.75
32,0.875
31,0.90625
30,0.78125
29,0.75
28,0.875
27,0.71875
26,0.65625
25,0.6875
24,0.75
23,0.65625
22,0.59375
21,0.5
20,0.46875
19,0.5625
18,0.53125
17,0.5625
16,0.53125
15,0.65625
14,0.5
13,0.34375
12,0.6875
11,0.40625
10,0.3125
9,0.5
8,0.5
7,0.53125
6,0.625
5,0.65625
4,0.53125
3,0.40625
2,0.5
1,0.375
