clique size,fraction correct
70,1.0
69,1.0
68,1.0
67,1.0
66,1.0
65,1.0
64,0.96875
63,1.0
62,1.0
61,1.0
60,1.0
59,1.0
58,1.0
57,1.0
56,1.0
55,0.96875
54,1.0
53,1.0
52,1.0
51,0.96875
50,1.0
49,0.96875
48,1.0
47,0.96875
46,0.96875
45,0.9375
44,0.90625
43,0.90625
42,0.90625
41,0.90625
40,0.84375
39,0.90625
38,0.875
37,0.9375
36,0.8125
35,0.90625
34,0.8125
33,0.84375
32,0.8125
31,0.9375
30,0.84375
29,0.71875
28,0.6875
27,0.75
26,0.71875
25,0.6875
24,0.75
23,0.65625
22,0.59375
21,0.625
20,0.53125
19,0.65625
18,0.625
17,0.5625
16,0.5
15,0.5
14,0.53125
13,0.625
12,0.53125
11,0.46875
10,0.5625
9,0.34375
8,0.59375
7,0.53125
6,0.5
5,0.65625
4,0.59375
3,0.34375
2,0.5
1,0.53125
