clique size,fraction correct
70,1.0
69,1.0
68,1.0
67,1.0
66,1.0
65,1.0
64,1.0
63,0.96875
62,1.0
61,1.0
60,1.0
59,1.0
58,1.0
57,1.0
56,1.0
55,1.0
54,1.0
53,1.0
52,1.0
51,1.0
50,1.0
49,0.96875
48,1.0
47,0.96875
46,0.96875
45,1.0
44,1.0
43,1.0
42,1.0
41,1.0
40,1.0
39,0.96875
38,1.0
37,0.9375
36,0.90625
35,0.9375
34,0.84375
33,0.8125
32,0.75
31,0.78125
30,0.9375
29,0.6875
28,0.53125
27,0.5625
26,0.5625
25,0.5625
24,0.6875
23,0.53125
22,0.65625
21,0.5
20,0.53125
19,0.65625
18,0.40625
17,0.46875
16,0.53125
15,0.5625
14,0.4375
13,0.5625
12,0.5
11,0.53125
10,0.5625
9,0.40625
8,0.53125
7,0.5
6,0.53125
5,0.53125
4,0.46875
3,0.46875
2,0.46875
1,0.4375
