clique size,fraction correct
210,0.96875
209,1.0
208,1.0
207,1.0
206,0.96875
205,1.0
204,1.0
203,1.0
202,0.96875
201,1.0
200,1.0
199,0.96875
198,0.96875
197,0.9375
196,0.96875
195,1.0
194,1.0
193,1.0
192,1.0
191,1.0
190,1.0
189,1.0
188,1.0
187,0.9375
186,0.9375
185,0.96875
184,1.0
183,0.96875
182,0.9375
181,0.96875
180,1.0
179,0.9375
178,1.0
177,0.96875
176,1.0
175,0.96875
174,1.0
173,1.0
172,0.96875
171,0.96875
170,1.0
169,0.96875
168,0.96875
167,1.0
166,1.0
165,0.96875
164,1.0
163,0.9375
162,1.0
161,1.0
160,1.0
159,0.96875
158,0.96875
157,1.0
156,0.96875
155,0.96875
154,1.0
153,1.0
152,0.96875
151,0.96875
150,1.0
149,0.96875
148,1.0
147,0.9375
146,1.0
145,0.96875
144,0.96875
143,0.96875
142,0.96875
141,0.96875
140,0.96875
139,1.0
138,1.0
137,1.0
136,1.0
135,1.0
134,1.0
133,1.0
132,1.0
131,0.96875
130,1.0
129,0.96875
128,1.0
127,0.96875
126,0.96875
125,0.96875
124,0.9375
123,0.96875
122,1.0
121,0.96875
120,0.96875
119,0.9375
118,0.875
117,1.0
116,1.0
115,1.0
114,1.0
113,0.96875
112,0.96875
111,0.875
110,0.9375
109,0.96875
108,0.90625
107,0.875
106,0.8125
105,0.9375
104,0.96875
103,0.84375
102,0.90625
101,0.9375
100,0.84375
99,0.8125
98,0.84375
97,0.78125
96,0.84375
95,0.90625
94,0.96875
93,0.875
92,0.875
91,0.78125
90,0.6875
89,0.6875
88,0.875
87,0.6875
86,0.75
85,0.625
84,0.65625
83,0.78125
82,0.78125
81,0.8125
80,0.625
79,0.84375
78,0.53125
77,0.53125
76,0.59375
75,0.625
74,0.6875
73,0.71875
72,0.59375
71,0.75
70,0.59375
69,0.71875
68,0.6875
67,0.59375
66,0.59375
65,0.4375
64,0.59375
63,0.53125
62,0.59375
61,0.625
60,0.5625
59,0.5
58,0.5625
57,0.6875
56,0.5
55,0.46875
54,0.53125
53,0.53125
52,0.65625
51,0.46875
50,0.5
49,0.40625
48,0.53125
47,0.46875
46,0.5
45,0.34375
44,0.34375
43,0.625
42,0.34375
41,0.5625
40,0.59375
39,0.40625
38,0.59375
37,0.6875
36,0.46875
35,0.53125
34,0.40625
33,0.46875
32,0.5625
31,0.53125
30,0.4375
29,0.5
28,0.46875
27,0.625
26,0.34375
25,0.4375
24,0.53125
23,0.40625
22,0.46875
21,0.4375
20,0.53125
19,0.5
18,0.46875
17,0.46875
16,0.5625
15,0.4375
14,0.4375
13,0.5
12,0.34375
11,0.78125
10,0.5
9,0.625
8,0.375
7,0.46875
6,0.65625
5,0.5
4,0.59375
3,0.5
2,0.40625
1,0.46875
