clique size,fraction correct
70,1.0
69,1.0
68,1.0
67,1.0
66,1.0
65,1.0
64,1.0
63,1.0
62,1.0
61,1.0
60,1.0
59,0.875
58,1.0
57,1.0
56,0.9375
55,0.9375
54,0.875
53,1.0
52,1.0
51,1.0
50,0.8125
49,0.875
48,0.875
47,1.0
46,0.9375
45,0.9375
44,1.0
43,0.6875
42,0.9375
41,0.9375
40,0.875
39,0.875
38,0.9375
37,0.8125
36,0.875
35,0.9375
34,0.8125
33,0.75
32,0.9375
31,0.625
30,0.6875
29,0.875
28,0.875
27,0.625
26,0.5625
25,0.625
24,0.5
23,0.625
22,0.625
21,0.6875
20,0.6875
19,0.5625
18,0.4375
17,0.5
16,0.625
15,0.625
14,0.4375
13,0.375
12,0.4375
11,0.625
10,0.5
9,0.625
8,0.5
7,0.4375
6,0.4375
5,0.5
4,0.375
3,0.4375
2,0.375
1,0.5
