clique size,fraction correct
70,1.0
69,1.0
68,1.0
67,1.0
66,1.0
65,1.0
64,0.9375
63,1.0
62,1.0
61,1.0
60,0.9375
59,1.0
58,1.0
57,0.9375
56,0.9375
55,0.875
54,1.0
53,0.9375
52,1.0
51,1.0
50,0.875
49,0.875
48,0.8125
47,1.0
46,1.0
45,0.875
44,0.8125
43,0.9375
42,0.875
41,0.9375
40,1.0
39,0.625
38,0.8125
37,0.75
36,0.75
35,0.75
34,0.75
33,0.6875
32,0.8125
31,0.8125
30,0.75
29,0.6875
28,0.625
27,0.8125
26,0.75
25,0.5625
24,0.5625
23,0.5625
22,0.75
21,0.5625
20,0.5625
19,0.5
18,0.5
17,0.625
16,0.75
15,0.8125
14,0.4375
13,0.75
12,0.25
11,0.6875
10,0.5
9,0.4375
8,0.375
7,0.5
6,0.5625
5,0.5625
4,0.5
3,0.5
2,0.4375
1,0.5625
