clique size,fraction correct
210,1.0
209,1.0
208,1.0
207,1.0
206,1.0
205,1.0
204,1.0
203,1.0
202,1.0
201,1.0
200,1.0
199,1.0
198,1.0
197,1.0
196,1.0
195,1.0
194,1.0
193,1.0
192,1.0
191,1.0
190,1.0
189,1.0
188,1.0
187,1.0
186,1.0
185,1.0
184,1.0
183,1.0
182,1.0
181,1.0
180,1.0
179,1.0
178,1.0
177,1.0
176,1.0
175,1.0
174,1.0
173,1.0
172,1.0
171,1.0
170,1.0
169,1.0
168,1.0
167,1.0
166,1.0
165,1.0
164,1.0
163,1.0
162,1.0
161,1.0
160,1.0
159,1.0
158,1.0
157,1.0
156,1.0
155,1.0
154,1.0
153,1.0
152,1.0
151,1.0
150,1.0
149,1.0
148,1.0
147,1.0
146,1.0
145,1.0
144,1.0
143,1.0
142,1.0
141,1.0
140,1.0
139,1.0
138,1.0
137,1.0
136,1.0
135,1.0
134,1.0
133,1.0
132,1.0
131,1.0
130,1.0
129,1.0
128,1.0
127,1.0
126,1.0
125,1.0
124,1.0
123,1.0
122,1.0
121,1.0
120,1.0
119,1.0
118,1.0
117,1.0
116,1.0
115,1.0
114,1.0
113,1.0
112,1.0
111,1.0
110,1.0
109,1.0
108,1.0
107,0.96875
106,0.90625
105,0.9375
104,0.84375
103,0.9375
102,0.90625
101,0.84375
100,0.84375
99,0.78125
98,0.875
97,0.53125
96,0.75
95,0.59375
94,0.71875
93,0.75
92,0.59375
91,0.5625
90,0.53125
89,0.5
88,0.5
87,0.5625
86,0.5625
85,0.65625
84,0.625
83,0.6875
82,0.65625
81,0.46875
80,0.5625
79,0.5625
78,0.53125
77,0.5
76,0.5625
75,0.46875
74,0.5625
73,0.46875
72,0.5
71,0.59375
70,0.53125
69,0.5625
68,0.6875
67,0.65625
66,0.40625
65,0.65625
64,0.59375
63,0.4375
62,0.625
61,0.375
60,0.53125
59,0.4375
58,0.5625
57,0.59375
56,0.46875
55,0.53125
54,0.34375
53,0.53125
52,0.46875
51,0.59375
50,0.59375
49,0.53125
48,0.5625
47,0.5625
46,0.46875
45,0.34375
44,0.4375
43,0.5625
42,0.6875
41,0.4375
40,0.46875
39,0.59375
38,0.46875
37,0.5
36,0.5625
35,0.5625
34,0.375
33,0.40625
32,0.5625
31,0.46875
30,0.40625
29,0.5625
28,0.34375
27,0.40625
26,0.5
25,0.65625
24,0.625
23,0.5
22,0.53125
21,0.65625
20,0.53125
19,0.53125
18,0.5
17,0.5
16,0.53125
15,0.53125
14,0.53125
13,0.59375
12,0.5
11,0.46875
10,0.5
9,0.46875
8,0.34375
7,0.5625
6,0.5
5,0.375
4,0.5625
3,0.65625
2,0.5
1,0.40625
