clique size,fraction correct
70,0.9375
69,0.9375
68,1.0
67,1.0
66,1.0
65,1.0
64,1.0
63,0.9375
62,1.0
61,0.9375
60,1.0
59,1.0
58,0.9375
57,1.0
56,1.0
55,0.9375
54,0.9375
53,1.0
52,0.9375
51,1.0
50,1.0
49,0.9375
48,0.875
47,0.9375
46,1.0
45,1.0
44,0.875
43,0.875
42,1.0
41,1.0
40,0.9375
39,1.0
38,0.8125
37,0.625
36,0.75
35,0.5
34,0.6875
33,0.75
32,0.6875
31,0.75
30,0.625
29,0.375
28,0.4375
27,0.5625
26,0.75
25,0.5625
24,0.5625
23,0.4375
22,0.4375
21,0.1875
20,0.5625
19,0.4375
18,0.625
17,0.375
16,0.5
15,0.5
14,0.625
13,0.5625
12,0.625
11,0.625
10,0.5625
9,0.5625
8,0.4375
7,0.1875
6,0.4375
5,0.4375
4,0.3125
3,0.5
2,0.3125
1,0.5
