clique size,fraction correct
210,1.0
209,1.0
208,1.0
207,1.0
206,1.0
205,1.0
204,1.0
203,1.0
202,1.0
201,1.0
200,1.0
199,1.0
198,1.0
197,1.0
196,1.0
195,1.0
194,1.0
193,1.0
192,1.0
191,1.0
190,1.0
189,1.0
188,1.0
187,1.0
186,1.0
185,1.0
184,1.0
183,1.0
182,1.0
181,1.0
180,1.0
179,1.0
178,1.0
177,1.0
176,1.0
175,1.0
174,1.0
173,1.0
172,1.0
171,1.0
170,1.0
169,1.0
168,1.0
167,1.0
166,1.0
165,1.0
164,1.0
163,1.0
162,1.0
161,1.0
160,1.0
159,1.0
158,1.0
157,1.0
156,1.0
155,1.0
154,1.0
153,1.0
152,1.0
151,1.0
150,1.0
149,1.0
148,1.0
147,1.0
146,1.0
145,1.0
144,1.0
143,1.0
142,1.0
141,1.0
140,1.0
139,1.0
138,1.0
137,1.0
136,1.0
135,1.0
134,1.0
133,1.0
132,1.0
131,1.0
130,1.0
129,1.0
128,1.0
127,1.0
126,1.0
125,1.0
124,1.0
123,1.0
122,1.0
121,1.0
120,1.0
119,1.0
118,1.0
117,1.0
116,1.0
115,1.0
114,1.0
113,1.0
112,1.0
111,0.9375
110,1.0
109,1.0
108,0.96875
107,1.0
106,0.90625
105,1.0
104,0.9375
103,0.875
102,0.84375
101,0.84375
100,0.875
99,0.875
98,0.90625
97,0.8125
96,0.65625
95,0.59375
94,0.5
93,0.5625
92,0.78125
91,0.34375
90,0.59375
89,0.53125
88,0.46875
87,0.5625
86,0.6875
85,0.4375
84,0.5625
83,0.4375
82,0.4375
81,0.40625
80,0.5
79,0.375
78,0.53125
77,0.53125
76,0.5625
75,0.5625
74,0.40625
73,0.5
72,0.4375
71,0.59375
70,0.34375
69,0.46875
68,0.5625
67,0.5625
66,0.53125
65,0.71875
64,0.53125
63,0.5625
62,0.5
61,0.5
60,0.65625
59,0.34375
58,0.53125
57,0.625
56,0.53125
55,0.59375
54,0.53125
53,0.40625
52,0.65625
51,0.4375
50,0.5625
49,0.53125
48,0.28125
47,0.59375
46,0.5
45,0.53125
44,0.5625
43,0.40625
42,0.5625
41,0.53125
40,0.53125
39,0.71875
38,0.5
37,0.46875
36,0.59375
35,0.625
34,0.5
33,0.4375
32,0.46875
31,0.5
30,0.4375
29,0.53125
28,0.46875
27,0.53125
26,0.34375
25,0.4375
24,0.625
23,0.65625
22,0.53125
21,0.625
20,0.5625
19,0.625
18,0.53125
17,0.5
16,0.4375
15,0.46875
14,0.4375
13,0.25
12,0.53125
11,0.34375
10,0.625
9,0.53125
8,0.40625
7,0.5
6,0.28125
5,0.34375
4,0.59375
3,0.5625
2,0.4375
1,0.5
