clique size,fraction correct
210,0.4375
209,0.4375
208,0.4375
207,0.46875
206,0.4375
205,0.53125
204,0.46875
203,0.5625
202,0.53125
201,0.5625
200,0.59375
199,0.5
198,0.53125
197,0.5
196,0.53125
195,0.40625
194,0.375
193,0.4375
192,0.375
191,0.34375
190,0.53125
189,0.40625
188,0.3125
187,0.46875
186,0.46875
185,0.5625
184,0.5625
183,0.375
182,0.46875
181,0.4375
180,0.46875
179,0.59375
178,0.5625
177,0.5625
176,0.5
175,0.5625
174,0.625
173,0.5
172,0.375
171,0.46875
170,0.40625
169,0.625
168,0.40625
167,0.5
166,0.4375
165,0.40625
164,0.625
163,0.46875
162,0.5
161,0.4375
160,0.3125
159,0.5
158,0.53125
157,0.53125
156,0.40625
155,0.6875
154,0.625
153,0.5
152,0.53125
151,0.5
150,0.375
149,0.46875
148,0.65625
147,0.53125
146,0.375
145,0.5625
144,0.5
143,0.4375
142,0.5625
141,0.59375
140,0.53125
139,0.40625
138,0.46875
137,0.59375
136,0.59375
135,0.53125
134,0.46875
133,0.46875
132,0.375
131,0.375
130,0.53125
129,0.53125
128,0.40625
127,0.40625
126,0.5625
125,0.53125
124,0.53125
123,0.53125
122,0.46875
121,0.5
120,0.65625
119,0.46875
118,0.5625
117,0.46875
116,0.4375
115,0.375
114,0.46875
113,0.53125
112,0.53125
111,0.53125
110,0.625
109,0.3125
108,0.5625
107,0.53125
106,0.65625
105,0.46875
104,0.53125
103,0.5
102,0.3125
101,0.34375
100,0.46875
99,0.5625
98,0.5625
97,0.46875
96,0.59375
95,0.6875
94,0.375
93,0.53125
92,0.5625
91,0.5
90,0.5625
89,0.40625
88,0.53125
87,0.4375
86,0.46875
85,0.4375
84,0.46875
83,0.5625
82,0.53125
81,0.46875
80,0.46875
79,0.46875
78,0.625
77,0.375
76,0.5625
75,0.6875
74,0.53125
73,0.59375
72,0.59375
71,0.3125
70,0.4375
69,0.4375
68,0.375
67,0.40625
66,0.4375
65,0.4375
64,0.53125
63,0.28125
62,0.65625
61,0.59375
60,0.4375
59,0.59375
58,0.46875
57,0.4375
56,0.625
55,0.34375
54,0.40625
53,0.5625
52,0.40625
51,0.59375
50,0.375
49,0.53125
48,0.5
47,0.5
46,0.5625
45,0.46875
44,0.46875
43,0.59375
42,0.46875
41,0.46875
40,0.40625
39,0.5
38,0.53125
37,0.4375
36,0.40625
35,0.46875
34,0.46875
33,0.5
32,0.53125
31,0.625
30,0.4375
29,0.46875
28,0.4375
27,0.5
26,0.46875
25,0.46875
24,0.5
23,0.59375
22,0.46875
21,0.5625
20,0.5625
19,0.5
18,0.375
17,0.53125
16,0.53125
15,0.59375
14,0.53125
13,0.5625
12,0.59375
11,0.46875
10,0.5625
9,0.5
8,0.4375
7,0.65625
6,0.625
5,0.53125
4,0.4375
3,0.4375
2,0.71875
1,0.46875
