clique size,fraction correct
210,0.5625
209,0.5625
208,0.5
207,0.4375
206,0.5625
205,0.375
204,0.5
203,0.5
202,0.5
201,0.4375
200,0.5625
199,0.34375
198,0.40625
197,0.625
196,0.59375
195,0.53125
194,0.5625
193,0.5625
192,0.59375
191,0.59375
190,0.5625
189,0.625
188,0.46875
187,0.40625
186,0.3125
185,0.5625
184,0.46875
183,0.3125
182,0.5625
181,0.625
180,0.46875
179,0.28125
178,0.625
177,0.53125
176,0.75
175,0.53125
174,0.53125
173,0.375
172,0.5625
171,0.625
170,0.5
169,0.6875
168,0.5625
167,0.40625
166,0.5
165,0.4375
164,0.59375
163,0.59375
162,0.5
161,0.4375
160,0.46875
159,0.625
158,0.46875
157,0.375
156,0.59375
155,0.46875
154,0.4375
153,0.625
152,0.5
151,0.46875
150,0.59375
149,0.46875
148,0.5625
147,0.5
146,0.59375
145,0.375
144,0.46875
143,0.53125
142,0.4375
141,0.4375
140,0.5625
139,0.5625
138,0.5
137,0.53125
136,0.53125
135,0.53125
134,0.5
133,0.5
132,0.53125
131,0.59375
130,0.65625
129,0.53125
128,0.40625
127,0.40625
126,0.5625
125,0.375
124,0.5625
123,0.375
122,0.625
121,0.53125
120,0.5625
119,0.46875
118,0.3125
117,0.5625
116,0.34375
115,0.40625
114,0.4375
113,0.5625
112,0.53125
111,0.53125
110,0.53125
109,0.46875
108,0.6875
107,0.53125
106,0.5
105,0.5625
104,0.71875
103,0.5
102,0.5625
101,0.5
100,0.53125
99,0.46875
98,0.46875
97,0.46875
96,0.5625
95,0.59375
94,0.4375
93,0.40625
92,0.5625
91,0.53125
90,0.5
89,0.53125
88,0.5
87,0.40625
86,0.4375
85,0.53125
84,0.34375
83,0.28125
82,0.375
81,0.625
80,0.34375
79,0.4375
78,0.46875
77,0.5
76,0.40625
75,0.65625
74,0.46875
73,0.53125
72,0.40625
71,0.5625
70,0.3125
69,0.4375
68,0.65625
67,0.5625
66,0.46875
65,0.5
64,0.5625
63,0.5625
62,0.40625
61,0.4375
60,0.5
59,0.53125
58,0.53125
57,0.375
56,0.75
55,0.5
54,0.375
53,0.375
52,0.46875
51,0.4375
50,0.40625
49,0.40625
48,0.40625
47,0.65625
46,0.625
45,0.4375
44,0.5625
43,0.5625
42,0.65625
41,0.40625
40,0.5625
39,0.5
38,0.53125
37,0.53125
36,0.46875
35,0.40625
34,0.625
33,0.46875
32,0.59375
31,0.53125
30,0.53125
29,0.46875
28,0.46875
27,0.34375
26,0.59375
25,0.46875
24,0.5
23,0.5625
22,0.5625
21,0.4375
20,0.53125
19,0.40625
18,0.65625
17,0.40625
16,0.625
15,0.46875
14,0.53125
13,0.53125
12,0.40625
11,0.46875
10,0.5
9,0.65625
8,0.59375
7,0.4375
6,0.65625
5,0.25
4,0.5625
3,0.59375
2,0.34375
1,0.46875
