clique size,fraction correct
70,1.0
69,1.0
68,1.0
67,1.0
66,1.0
65,1.0
64,0.96875
63,1.0
62,1.0
61,1.0
60,0.96875
59,1.0
58,1.0
57,0.9375
56,1.0
55,1.0
54,1.0
53,1.0
52,1.0
51,1.0
50,1.0
49,1.0
48,1.0
47,1.0
46,0.96875
45,1.0
44,1.0
43,0.96875
42,0.9375
41,1.0
40,0.96875
39,0.9375
38,0.96875
37,0.9375
36,0.9375
35,0.875
34,0.75
33,0.9375
32,0.90625
31,0.875
30,0.84375
29,0.78125
28,0.8125
27,0.71875
26,0.59375
25,0.8125
24,0.75
23,0.65625
22,0.5625
21,0.6875
20,0.46875
19,0.53125
18,0.53125
17,0.6875
16,0.46875
15,0.4375
14,0.53125
13,0.46875
12,0.5625
11,0.46875
10,0.3125
9,0.5625
8,0.59375
7,0.46875
6,0.5625
5,0.375
4,0.59375
3,0.4375
2,0.5625
1,0.40625
