clique size,fraction correct
70,1.0
69,1.0
68,1.0
67,1.0
66,0.96875
65,1.0
64,1.0
63,1.0
62,1.0
61,1.0
60,1.0
59,1.0
58,0.96875
57,1.0
56,1.0
55,1.0
54,1.0
53,1.0
52,1.0
51,1.0
50,1.0
49,1.0
48,1.0
47,1.0
46,1.0
45,1.0
44,1.0
43,1.0
42,0.96875
41,0.96875
40,0.9375
39,0.90625
38,0.90625
37,0.84375
36,0.875
35,0.75
34,0.6875
33,0.71875
32,0.6875
31,0.4375
30,0.34375
29,0.65625
28,0.46875
27,0.625
26,0.625
25,0.59375
24,0.40625
23,0.40625
22,0.5
21,0.46875
20,0.53125
19,0.65625
18,0.5625
17,0.59375
16,0.5
15,0.53125
14,0.28125
13,0.375
12,0.625
11,0.65625
10,0.4375
9,0.375
8,0.5625
7,0.46875
6,0.53125
5,0.5
4,0.46875
3,0.53125
2,0.40625
1,0.4375
