clique size,fraction correct
70,0.5
69,0.51
68,0.48
67,0.47
66,0.5
65,0.52
64,0.49
63,0.51
62,0.46
61,0.52
60,0.53
59,0.57
58,0.47
57,0.5
56,0.51
55,0.48
54,0.48
53,0.52
52,0.45
51,0.52
50,0.49
49,0.5
48,0.52
47,0.47
46,0.44
45,0.5
44,0.47
43,0.54
42,0.58
41,0.55
40,0.48
39,0.54
38,0.48
37,0.48
36,0.44
35,0.45
34,0.51
33,0.46
32,0.46
31,0.45
30,0.44
29,0.42
28,0.48
27,0.53
26,0.48
25,0.45
24,0.52
23,0.45
22,0.48
21,0.52
20,0.5
19,0.5
18,0.46
17,0.53
16,0.5
15,0.47
14,0.53
13,0.48
12,0.51
11,0.48
10,0.5
9,0.53
8,0.58
7,0.5
6,0.55
5,0.52
4,0.5
3,0.45
2,0.57
1,0.49
