clique size,fraction correct
70,0.46
69,0.48
68,0.54
67,0.45
66,0.48
65,0.54
64,0.45
63,0.52
62,0.54
61,0.42
60,0.59
59,0.53
58,0.58
57,0.45
56,0.44
55,0.53
54,0.44
53,0.48
52,0.5
51,0.5
50,0.45
49,0.46
48,0.49
47,0.48
46,0.47
45,0.43
44,0.52
43,0.48
42,0.55
41,0.49
40,0.49
39,0.48
38,0.47
37,0.5
36,0.45
35,0.52
34,0.48
33,0.51
32,0.59
31,0.55
30,0.52
29,0.55
28,0.46
27,0.51
26,0.6
25,0.5
24,0.53
23,0.5
22,0.51
21,0.53
20,0.54
19,0.37
18,0.49
17,0.41
16,0.42
15,0.51
14,0.49
13,0.51
12,0.48
11,0.54
10,0.52
9,0.46
8,0.51
7,0.56
6,0.52
5,0.48
4,0.54
3,0.48
2,0.51
1,0.48
