clique size,fraction correct
70,0.97
69,0.93
68,0.96
67,0.95
66,0.93
65,0.94
64,0.95
63,0.96
62,0.95
61,0.94
60,0.95
59,0.94
58,0.94
57,0.95
56,0.94
55,0.94
54,0.93
53,0.96
52,0.94
51,0.95
50,0.93
49,0.96
48,0.95
47,0.95
46,0.95
45,0.95
44,0.96
43,0.97
42,0.94
41,0.95
40,0.94
39,0.95
38,0.96
37,0.93
36,0.94
35,0.94
34,0.93
33,0.93
32,0.92
31,0.91
30,0.88
29,0.85
28,0.84
27,0.79
26,0.75
25,0.74
24,0.71
23,0.65
22,0.66
21,0.63
20,0.64
19,0.57
18,0.56
17,0.54
16,0.48
15,0.57
14,0.58
13,0.56
12,0.51
11,0.51
10,0.54
9,0.47
8,0.5
7,0.55
6,0.49
5,0.5
4,0.53
3,0.51
2,0.52
1,0.46
