clique size,fraction correct
336,0.93
332,0.93
329,0.94
325,0.95
322,0.94
319,0.89
315,0.94
312,0.95
308,0.93
305,0.93
302,0.92
298,0.95
295,0.93
292,0.95
288,0.95
285,0.93
281,0.93
278,0.91
275,0.91
271,0.93
268,0.92
264,0.91
261,0.94
258,0.93
254,0.93
251,0.93
248,0.92
244,0.95
241,0.92
237,0.91
234,0.94
231,0.93
227,0.93
224,0.92
220,0.92
217,0.95
214,0.93
210,0.93
207,0.93
204,0.93
200,0.94
197,0.92
193,0.94
190,0.94
187,0.95
183,0.95
180,0.94
176,0.93
173,0.94
170,0.93
166,0.92
163,0.93
160,0.93
156,0.93
153,0.9
149,0.9
146,0.93
143,0.93
139,0.96
136,0.93
132,0.94
129,0.91
126,0.94
122,0.93
119,0.92
116,0.96
112,0.93
109,0.94
105,0.95
102,0.95
99,0.92
95,0.89
92,0.9
88,0.87
85,0.89
82,0.85
78,0.84
75,0.83
72,0.77
68,0.71
65,0.71
61,0.64
58,0.66
55,0.59
51,0.59
48,0.58
44,0.54
41,0.52
38,0.55
34,0.51
31,0.56
28,0.53
24,0.54
21,0.51
17,0.52
14,0.51
11,0.53
7,0.51
4,0.5
1,0.48
