clique size,fraction correct
70,0.53125
69,0.625
68,0.375
67,0.5625
66,0.59375
65,0.53125
64,0.46875
63,0.625
62,0.59375
61,0.53125
60,0.6875
59,0.53125
58,0.5
57,0.3125
56,0.5
55,0.59375
54,0.5
53,0.4375
52,0.5625
51,0.59375
50,0.625
49,0.46875
48,0.46875
47,0.46875
46,0.4375
45,0.4375
44,0.53125
43,0.5
42,0.46875
41,0.5
40,0.5
39,0.71875
38,0.40625
37,0.5
36,0.5
35,0.4375
34,0.53125
33,0.5
32,0.40625
31,0.65625
30,0.4375
29,0.34375
28,0.5625
27,0.5
26,0.5625
25,0.5625
24,0.53125
23,0.34375
22,0.5
21,0.28125
20,0.46875
19,0.4375
18,0.53125
17,0.34375
16,0.53125
15,0.5
14,0.40625
13,0.4375
12,0.5
11,0.53125
10,0.53125
9,0.625
8,0.5625
7,0.5
6,0.53125
5,0.625
4,0.59375
3,0.5
2,0.4375
1,0.375
