clique size,fraction correct
70,1.0
69,1.0
68,0.96875
67,1.0
66,1.0
65,1.0
64,1.0
63,1.0
62,1.0
61,0.96875
60,1.0
59,1.0
58,1.0
57,1.0
56,1.0
55,1.0
54,1.0
53,1.0
52,1.0
51,0.96875
50,1.0
49,1.0
48,1.0
47,1.0
46,0.96875
45,0.96875
44,1.0
43,1.0
42,0.96875
41,1.0
40,0.96875
39,0.96875
38,0.9375
37,1.0
36,0.90625
35,0.9375
34,0.8125
33,0.8125
32,0.8125
31,0.75
30,0.6875
29,0.65625
28,0.625
27,0.5625
26,0.53125
25,0.5
24,0.5625
23,0.5625
22,0.5625
21,0.4375
20,0.53125
19,0.5
18,0.5
17,0.5
16,0.5
15,0.65625
14,0.5
13,0.4375
12,0.5
11,0.5
10,0.53125
9,0.4375
8,0.40625
7,0.625
6,0.5
5,0.5625
4,0.3125
3,0.4375
2,0.5
1,0.40625
