clique size,fraction correct
140,1.0
138,1.0
137,0.96875
135,1.0
134,0.9375
132,1.0
131,1.0
130,0.96875
128,0.90625
127,1.0
125,1.0
124,1.0
123,1.0
121,0.96875
120,0.9375
118,0.9375
117,0.96875
116,0.9375
114,0.96875
113,0.96875
111,1.0
110,0.96875
109,0.96875
107,0.9375
106,0.90625
104,0.96875
103,0.96875
102,0.96875
100,1.0
99,0.96875
97,0.96875
96,1.0
95,0.96875
93,0.96875
92,0.96875
90,0.96875
89,1.0
88,0.96875
86,1.0
85,1.0
83,1.0
82,0.875
81,0.90625
79,0.96875
78,0.875
76,0.90625
75,0.90625
74,0.875
72,0.875
71,0.9375
69,0.84375
68,0.8125
66,0.78125
65,0.96875
64,0.71875
62,0.8125
61,0.71875
59,0.71875
58,0.75
57,0.75
55,0.71875
54,0.75
52,0.5625
51,0.6875
50,0.625
48,0.46875
47,0.71875
45,0.65625
44,0.4375
43,0.6875
41,0.59375
40,0.53125
38,0.65625
37,0.59375
36,0.5
34,0.59375
33,0.4375
31,0.53125
30,0.46875
29,0.59375
27,0.46875
26,0.375
24,0.40625
23,0.4375
22,0.75
20,0.625
19,0.65625
17,0.4375
16,0.53125
15,0.4375
13,0.53125
12,0.625
10,0.53125
9,0.34375
8,0.40625
6,0.53125
5,0.4375
3,0.59375
2,0.65625
1,0.40625
