clique size,fraction correct
70,0.53
69,0.5
68,0.51
67,0.5
66,0.5
65,0.48
64,0.54
63,0.52
62,0.47
61,0.45
60,0.49
59,0.49
58,0.5
57,0.55
56,0.49
55,0.47
54,0.5
53,0.52
52,0.54
51,0.5
50,0.5
49,0.49
48,0.51
47,0.52
46,0.49
45,0.44
44,0.51
43,0.54
42,0.45
41,0.51
40,0.47
39,0.51
38,0.54
37,0.47
36,0.48
35,0.49
34,0.5
33,0.46
32,0.47
31,0.46
30,0.52
29,0.5
28,0.5
27,0.54
26,0.51
25,0.45
24,0.5
23,0.49
22,0.5
21,0.53
20,0.49
19,0.47
18,0.47
17,0.53
16,0.5
15,0.47
14,0.47
13,0.48
12,0.53
11,0.51
10,0.46
9,0.52
8,0.49
7,0.49
6,0.47
5,0.49
4,0.46
3,0.49
2,0.47
1,0.46
