clique size,fraction correct
70,0.97
69,0.97
68,0.98
67,0.98
66,0.98
65,0.98
64,0.97
63,0.97
62,0.96
61,0.99
60,0.98
59,0.97
58,0.97
57,0.96
56,0.97
55,0.98
54,0.97
53,0.96
52,0.98
51,0.98
50,0.97
49,0.97
48,0.98
47,0.97
46,0.96
45,0.97
44,0.97
43,0.94
42,0.93
41,0.93
40,0.93
39,0.92
38,0.89
37,0.88
36,0.85
35,0.8
34,0.82
33,0.76
32,0.73
31,0.73
30,0.73
29,0.65
28,0.64
27,0.64
26,0.65
25,0.56
24,0.59
23,0.55
22,0.59
21,0.55
20,0.57
19,0.53
18,0.52
17,0.53
16,0.51
15,0.49
14,0.53
13,0.49
12,0.5
11,0.55
10,0.48
9,0.5
8,0.53
7,0.51
6,0.47
5,0.46
4,0.49
3,0.52
2,0.48
1,0.5
