clique size,fraction correct
840,1.0
831,1.0
823,1.0
814,1.0
806,1.0
797,1.0
789,1.0
780,1.0
772,1.0
763,1.0
755,1.0
746,1.0
738,1.0
729,1.0
721,1.0
712,1.0
704,1.0
695,1.0
687,1.0
678,1.0
670,1.0
662,1.0
653,1.0
645,1.0
636,1.0
628,1.0
619,1.0
611,1.0
602,1.0
594,1.0
585,1.0
577,1.0
568,1.0
560,1.0
551,1.0
543,1.0
534,1.0
526,1.0
517,1.0
509,1.0
501,1.0
492,1.0
484,1.0
475,1.0
467,1.0
458,1.0
450,1.0
441,1.0
433,1.0
424,1.0
416,1.0
407,1.0
399,1.0
390,0.99
382,0.99
373,0.98
365,0.97
356,0.95
348,0.93
339,0.9
331,0.88
323,0.87
314,0.82
306,0.79
297,0.76
289,0.76
280,0.64
272,0.66
263,0.58
255,0.62
246,0.55
238,0.56
229,0.53
221,0.49
212,0.53
204,0.51
195,0.52
187,0.53
178,0.5
170,0.49
162,0.53
153,0.51
145,0.47
136,0.47
128,0.51
119,0.49
111,0.48
102,0.49
94,0.52
85,0.51
77,0.53
68,0.55
60,0.49
51,0.52
43,0.5
34,0.44
26,0.51
17,0.48
9,0.5
1,0.52
