clique size,fraction correct
250,0.97
247,0.96
244,0.91
242,0.96
239,0.94
237,0.94
234,0.96
232,0.96
229,0.96
227,0.93
224,0.96
222,0.98
219,0.96
217,0.93
214,0.93
212,0.94
209,0.93
207,0.94
204,0.97
202,0.94
199,0.93
197,0.94
194,0.97
192,0.94
189,0.91
187,0.97
184,0.95
182,0.96
179,0.96
177,0.92
174,0.97
172,0.94
169,0.94
167,0.96
164,0.94
161,0.95
159,0.93
156,0.95
154,0.95
151,0.95
149,0.93
146,0.94
144,0.96
141,0.94
139,0.97
136,0.93
134,0.95
131,0.94
129,0.96
126,0.93
124,0.95
121,0.93
119,0.96
116,0.93
114,0.97
111,0.94
109,0.97
106,0.97
104,0.94
101,0.92
99,0.95
96,0.94
94,0.96
91,0.91
89,0.94
86,0.91
84,0.94
81,0.91
78,0.82
76,0.79
73,0.69
71,0.64
68,0.61
66,0.57
63,0.54
61,0.48
58,0.51
56,0.48
53,0.5
51,0.49
48,0.5
46,0.53
43,0.46
41,0.46
38,0.57
36,0.51
33,0.53
31,0.48
28,0.54
26,0.46
23,0.45
21,0.46
18,0.44
16,0.49
13,0.47
11,0.47
8,0.49
6,0.46
3,0.45
1,0.56
