clique size,fraction correct
240,0.97
237,0.98
235,0.98
232,0.97
230,0.97
227,0.98
225,0.99
223,0.97
220,0.98
218,0.97
215,0.98
213,0.97
211,0.97
208,0.96
206,0.97
203,0.98
201,0.96
198,0.97
196,0.98
194,0.98
191,0.98
189,0.98
186,0.97
184,0.97
182,0.98
179,0.98
177,0.97
174,0.97
172,0.98
169,0.98
167,0.97
165,0.97
162,0.96
160,0.97
157,0.97
155,0.97
153,0.96
150,0.98
148,0.99
145,0.97
143,0.98
141,0.98
138,0.98
136,0.98
133,0.98
131,0.97
128,0.98
126,0.98
124,0.97
121,0.97
119,0.96
116,0.98
114,0.98
112,0.98
109,0.98
107,0.98
104,0.97
102,0.98
99,0.99
97,0.98
95,0.97
92,0.98
90,0.98
87,0.97
85,0.96
83,0.97
80,0.98
78,0.99
75,0.96
73,0.97
71,0.97
68,0.98
66,0.99
63,0.98
61,0.97
58,0.98
56,0.97
54,0.97
51,0.96
49,0.98
46,0.98
44,0.98
42,0.96
39,0.91
37,0.85
34,0.71
32,0.65
29,0.6
27,0.55
25,0.52
22,0.53
20,0.51
17,0.48
15,0.5
13,0.49
10,0.48
8,0.47
5,0.48
3,0.51
1,0.52
