clique size,fraction correct
336,0.99
332,0.99
329,0.98
325,0.98
322,1.0
319,0.99
315,0.99
312,0.96
308,0.99
305,0.99
302,0.99
298,0.97
295,0.99
292,0.99
288,1.0
285,0.99
281,0.99
278,0.98
275,0.98
271,1.0
268,0.96
264,0.99
261,0.99
258,1.0
254,0.97
251,0.98
248,0.98
244,0.99
241,0.99
237,0.99
234,0.98
231,0.99
227,0.97
224,0.98
220,0.99
217,0.99
214,0.99
210,0.97
207,0.99
204,0.99
200,0.99
197,0.97
193,0.97
190,0.99
187,0.97
183,0.99
180,0.96
176,0.99
173,0.98
170,0.99
166,0.98
163,0.99
160,0.99
156,1.0
153,0.98
149,0.99
146,1.0
143,0.98
139,1.0
136,0.99
132,0.99
129,0.97
126,0.99
122,0.98
119,0.98
116,1.0
112,1.0
109,1.0
105,0.99
102,0.99
99,0.99
95,0.97
92,0.99
88,1.0
85,0.98
82,0.98
78,0.99
75,0.99
72,0.98
68,1.0
65,1.0
61,0.99
58,0.99
55,0.99
51,0.96
48,0.99
44,0.97
41,0.97
38,0.99
34,0.97
31,0.82
28,0.78
24,0.57
21,0.53
17,0.55
14,0.52
11,0.54
7,0.52
4,0.53
1,0.6
