clique size,fraction correct
336,0.99
332,0.98
329,0.99
325,0.99
322,0.98
319,0.97
315,0.98
312,0.99
308,0.99
305,0.98
302,0.99
298,0.98
295,0.99
292,0.99
288,0.98
285,0.98
281,0.98
278,0.99
275,0.99
271,0.99
268,0.99
264,0.98
261,0.98
258,0.97
254,0.99
251,1.0
248,0.98
244,0.98
241,0.99
237,0.99
234,1.0
231,0.99
227,0.99
224,0.97
220,0.99
217,0.98
214,0.98
210,0.99
207,0.98
204,0.99
200,0.99
197,0.98
193,0.98
190,0.99
187,0.99
183,0.99
180,0.99
176,0.98
173,0.98
170,0.98
166,0.98
163,0.98
160,0.98
156,0.99
153,0.99
149,0.98
146,0.99
143,0.99
139,0.99
136,0.98
132,0.98
129,0.98
126,0.99
122,0.99
119,0.99
116,0.99
112,0.99
109,0.98
105,0.99
102,0.98
99,0.99
95,0.99
92,0.99
88,0.99
85,0.98
82,0.98
78,0.99
75,0.98
72,0.97
68,0.98
65,0.97
61,0.98
58,0.98
55,0.98
51,0.98
48,0.99
44,0.99
41,0.99
38,0.98
34,0.94
31,0.89
28,0.72
24,0.6
21,0.58
17,0.46
14,0.52
11,0.51
7,0.46
4,0.52
1,0.48
