clique size,fraction correct
70,1.0
69,1.0
68,1.0
67,1.0
66,1.0
65,1.0
64,1.0
63,1.0
62,1.0
61,1.0
60,1.0
59,1.0
58,1.0
57,1.0
56,1.0
55,1.0
54,1.0
53,1.0
52,1.0
51,1.0
50,1.0
49,1.0
48,1.0
47,1.0
46,1.0
45,1.0
44,1.0
43,1.0
42,1.0
41,1.0
40,1.0
39,1.0
38,0.99
37,0.97
36,0.94
35,0.78
34,0.58
33,0.5
32,0.51
31,0.53
30,0.55
29,0.45
28,0.51
27,0.47
26,0.55
25,0.46
24,0.46
23,0.56
22,0.59
21,0.46
20,0.52
19,0.47
18,0.45
17,0.51
16,0.52
15,0.52
14,0.45
13,0.48
12,0.53
11,0.44
10,0.57
9,0.5
8,0.54
7,0.51
6,0.54
5,0.52
4,0.54
3,0.53
2,0.6
1,0.46
