clique size,fraction correct
70,0.89
69,0.89
68,0.84
67,0.87
66,0.86
65,0.84
64,0.91
63,0.86
62,0.89
61,0.87
60,0.86
59,0.89
58,0.91
57,0.87
56,0.89
55,0.9
54,0.89
53,0.89
52,0.91
51,0.88
50,0.92
49,0.9
48,0.94
47,0.93
46,0.88
45,0.88
44,0.86
43,0.88
42,0.86
41,0.89
40,0.93
39,0.9
38,0.93
37,0.88
36,0.91
35,0.92
34,0.84
33,0.89
32,0.9
31,0.93
30,0.86
29,0.86
28,0.89
27,0.89
26,0.91
25,0.87
24,0.9
23,0.89
22,0.9
21,0.86
20,0.84
19,0.81
18,0.84
17,0.8
16,0.72
15,0.66
14,0.63
13,0.53
12,0.61
11,0.57
10,0.53
9,0.49
8,0.47
7,0.5
6,0.57
5,0.53
4,0.5
3,0.56
2,0.47
1,0.52
