clique size,fraction correct
70,1.0
69,1.0
68,1.0
67,1.0
66,1.0
65,1.0
64,1.0
63,1.0
62,0.98
61,0.83
60,0.52
59,0.49
58,0.56
57,0.51
56,0.51
55,0.61
54,0.49
53,0.49
52,0.56
51,0.47
50,0.57
49,0.51
48,0.52
47,0.51
46,0.48
45,0.43
44,0.47
43,0.5
42,0.44
41,0.46
40,0.47
39,0.5
38,0.48
37,0.56
36,0.55
35,0.49
34,0.49
33,0.52
32,0.53
31,0.54
30,0.57
29,0.41
28,0.46
27,0.45
26,0.42
25,0.44
24,0.51
23,0.54
22,0.51
21,0.51
20,0.52
19,0.43
18,0.48
17,0.55
16,0.51
15,0.51
14,0.46
13,0.46
12,0.53
11,0.55
10,0.48
9,0.52
8,0.51
7,0.48
6,0.47
5,0.46
4,0.55
3,0.53
2,0.53
1,0.55
