clique size,fraction correct
70,0.72
69,0.76
68,0.76
67,0.78
66,0.8
65,0.77
64,0.79
63,0.78
62,0.76
61,0.76
60,0.72
59,0.79
58,0.77
57,0.76
56,0.77
55,0.73
54,0.73
53,0.74
52,0.78
51,0.74
50,0.73
49,0.82
48,0.74
47,0.81
46,0.81
45,0.78
44,0.77
43,0.81
42,0.84
41,0.8
40,0.79
39,0.76
38,0.75
37,0.76
36,0.79
35,0.77
34,0.79
33,0.79
32,0.75
31,0.84
30,0.85
29,0.79
28,0.84
27,0.79
26,0.8
25,0.8
24,0.8
23,0.75
22,0.77
21,0.82
20,0.82
19,0.78
18,0.76
17,0.73
16,0.79
15,0.74
14,0.69
13,0.68
12,0.59
11,0.66
10,0.56
9,0.62
8,0.55
7,0.57
6,0.53
5,0.51
4,0.44
3,0.45
2,0.49
1,0.5
