clique size,fraction correct
280,1.0
277,1.0
274,1.0
271,1.0
268,1.0
265,1.0
263,1.0
260,1.0
257,1.0
254,1.0
251,1.0
249,1.0
246,1.0
243,1.0
240,1.0
237,1.0
234,1.0
232,1.0
229,1.0
226,1.0
223,1.0
220,1.0
218,1.0
215,1.0
212,1.0
209,1.0
206,1.0
203,1.0
201,1.0
198,1.0
195,1.0
192,1.0
189,1.0
187,1.0
184,1.0
181,1.0
178,1.0
175,1.0
172,1.0
170,1.0
167,1.0
164,1.0
161,1.0
158,1.0
156,1.0
153,1.0
150,1.0
147,1.0
144,1.0
141,1.0
139,1.0
136,1.0
133,1.0
130,1.0
127,1.0
125,1.0
122,1.0
119,1.0
116,0.95
113,0.74
110,0.47
108,0.51
105,0.41
102,0.49
99,0.52
96,0.49
94,0.53
91,0.56
88,0.48
85,0.47
82,0.57
79,0.55
77,0.55
74,0.54
71,0.57
68,0.44
65,0.48
63,0.51
60,0.53
57,0.51
54,0.46
51,0.49
48,0.47
46,0.47
43,0.57
40,0.52
37,0.46
34,0.51
32,0.52
29,0.51
26,0.53
23,0.51
20,0.53
17,0.42
15,0.49
12,0.52
9,0.49
6,0.54
3,0.56
1,0.44
