clique size,fraction correct
420,1.0
415,1.0
411,1.0
407,1.0
403,1.0
398,1.0
394,1.0
390,1.0
386,1.0
381,1.0
377,1.0
373,1.0
369,1.0
364,1.0
360,1.0
356,1.0
352,1.0
348,1.0
343,1.0
339,1.0
335,1.0
331,1.0
326,1.0
322,1.0
318,1.0
314,1.0
309,1.0
305,1.0
301,1.0
297,1.0
293,1.0
288,1.0
284,1.0
280,1.0
276,1.0
271,1.0
267,1.0
263,1.0
259,1.0
254,1.0
250,1.0
246,1.0
242,1.0
238,1.0
233,1.0
229,1.0
225,1.0
221,1.0
216,1.0
212,1.0
208,1.0
204,1.0
199,1.0
195,1.0
191,1.0
187,1.0
182,1.0
178,1.0
174,1.0
170,1.0
166,0.99
161,0.8
157,0.57
153,0.53
149,0.46
144,0.43
140,0.53
136,0.53
132,0.48
127,0.48
123,0.51
119,0.48
115,0.48
111,0.49
106,0.49
102,0.61
98,0.51
94,0.51
89,0.52
85,0.53
81,0.53
77,0.53
72,0.55
68,0.52
64,0.46
60,0.48
56,0.51
51,0.54
47,0.53
43,0.56
39,0.56
34,0.51
30,0.46
26,0.5
22,0.53
17,0.53
13,0.54
9,0.42
5,0.53
1,0.51
