clique size,fraction correct
840,0.87
831,0.82
823,0.88
814,0.81
806,0.79
797,0.85
789,0.84
780,0.84
772,0.79
763,0.86
755,0.83
746,0.84
738,0.79
729,0.82
721,0.82
712,0.81
704,0.81
695,0.86
687,0.81
678,0.81
670,0.86
662,0.87
653,0.81
645,0.76
636,0.81
628,0.81
619,0.83
611,0.88
602,0.8
594,0.8
585,0.87
577,0.86
568,0.78
560,0.91
551,0.82
543,0.81
534,0.83
526,0.81
517,0.82
509,0.84
501,0.83
492,0.82
484,0.81
475,0.81
467,0.77
458,0.84
450,0.81
441,0.78
433,0.82
424,0.84
416,0.85
407,0.77
399,0.82
390,0.83
382,0.81
373,0.76
365,0.84
356,0.81
348,0.84
339,0.84
331,0.84
323,0.82
314,0.86
306,0.77
297,0.83
289,0.86
280,0.84
272,0.84
263,0.85
255,0.85
246,0.87
238,0.84
229,0.84
221,0.77
212,0.84
204,0.81
195,0.82
187,0.84
178,0.84
170,0.91
162,0.84
153,0.89
145,0.82
136,0.84
128,0.86
119,0.84
111,0.82
102,0.79
94,0.82
85,0.81
77,0.8
68,0.81
60,0.74
51,0.72
43,0.66
34,0.52
26,0.57
17,0.47
9,0.53
1,0.53
