clique size,fraction correct
280,0.99
277,1.0
274,1.0
271,1.0
268,1.0
265,1.0
263,1.0
260,1.0
257,0.99
254,1.0
251,0.99
249,1.0
246,1.0
243,0.99
240,1.0
237,1.0
234,0.99
232,1.0
229,1.0
226,1.0
223,1.0
220,1.0
218,1.0
215,0.99
212,1.0
209,1.0
206,0.99
203,0.99
201,0.99
198,0.99
195,1.0
192,0.99
189,1.0
187,1.0
184,1.0
181,1.0
178,1.0
175,0.99
172,1.0
170,1.0
167,1.0
164,1.0
161,1.0
158,1.0
156,1.0
153,1.0
150,1.0
147,0.99
144,0.99
141,0.99
139,0.99
136,0.99
133,1.0
130,1.0
127,1.0
125,0.99
122,1.0
119,1.0
116,1.0
113,1.0
110,1.0
108,0.99
105,1.0
102,1.0
99,0.99
96,1.0
94,0.99
91,1.0
88,1.0
85,1.0
82,1.0
79,1.0
77,0.99
74,1.0
71,0.99
68,1.0
65,1.0
63,0.99
60,0.99
57,0.98
54,0.94
51,0.87
48,0.74
46,0.67
43,0.65
40,0.58
37,0.49
34,0.57
32,0.4
29,0.58
26,0.49
23,0.48
20,0.54
17,0.51
15,0.44
12,0.47
9,0.58
6,0.54
3,0.46
1,0.54
