clique size,fraction correct
280,1.0
277,1.0
274,1.0
271,1.0
268,1.0
265,1.0
263,1.0
260,1.0
257,1.0
254,1.0
251,1.0
249,1.0
246,1.0
243,1.0
240,1.0
237,1.0
234,1.0
232,1.0
229,1.0
226,1.0
223,1.0
220,1.0
218,1.0
215,1.0
212,1.0
209,1.0
206,1.0
203,1.0
201,1.0
198,1.0
195,1.0
192,1.0
189,1.0
187,1.0
184,1.0
181,1.0
178,1.0
175,1.0
172,1.0
170,1.0
167,1.0
164,1.0
161,1.0
158,1.0
156,1.0
153,1.0
150,1.0
147,1.0
144,1.0
141,1.0
139,1.0
136,1.0
133,1.0
130,1.0
127,1.0
125,1.0
122,1.0
119,1.0
116,1.0
113,1.0
110,1.0
108,1.0
105,1.0
102,1.0
99,1.0
96,1.0
94,1.0
91,1.0
88,1.0
85,1.0
82,1.0
79,1.0
77,1.0
74,1.0
71,1.0
68,1.0
65,1.0
63,1.0
60,1.0
57,1.0
54,1.0
51,1.0
48,1.0
46,1.0
43,0.99
40,0.99
37,0.98
34,0.94
32,0.89
29,0.81
26,0.78
23,0.67
20,0.61
17,0.56
15,0.57
12,0.53
9,0.47
6,0.49
3,0.53
1,0.5
