clique size,fraction correct
120,1.0
118,1.0
117,1.0
116,1.0
115,1.0
113,1.0
112,1.0
111,1.0
110,1.0
109,1.0
107,1.0
106,1.0
105,1.0
104,1.0
103,1.0
101,1.0
100,1.0
99,1.0
98,1.0
97,1.0
95,1.0
94,1.0
93,1.0
92,1.0
91,1.0
89,1.0
88,1.0
87,1.0
86,1.0
85,1.0
83,1.0
82,1.0
81,1.0
80,1.0
79,1.0
77,1.0
76,1.0
75,1.0
74,1.0
73,1.0
71,1.0
70,1.0
69,1.0
68,1.0
67,1.0
65,1.0
64,0.99
63,1.0
62,1.0
61,1.0
59,0.99
58,0.99
57,0.98
56,0.96
55,0.97
53,0.94
52,0.93
51,0.91
50,0.94
49,0.93
47,0.89
46,0.89
45,0.84
44,0.82
43,0.78
41,0.83
40,0.78
39,0.78
38,0.73
37,0.72
35,0.66
34,0.56
33,0.66
32,0.7
31,0.72
29,0.66
28,0.56
27,0.55
26,0.52
25,0.58
23,0.57
22,0.51
21,0.51
20,0.46
19,0.59
17,0.5
16,0.54
15,0.54
14,0.48
13,0.56
11,0.47
10,0.51
9,0.39
8,0.55
7,0.51
5,0.47
4,0.52
3,0.47
2,0.51
1,0.53
