N_value,clique_size,TP,FP,TN,FN,precision,recall,F1,AUC_ROC,total_params
100,30,90,0,70,0,0.9999999999988889,0.9999999999988889,0.9999999999488889,,
100,29,84,0,76,0,0.9999999999988095,0.9999999999988095,0.9999999999488096,,
100,28,85,0,75,0,0.9999999999988235,0.9999999999988235,0.9999999999488236,,
100,27,91,0,69,0,0.9999999999989011,0.9999999999989011,0.9999999999489011,,
100,26,67,0,93,0,0.9999999999985074,0.9999999999985074,0.9999999999485074,,
100,25,77,0,83,0,0.9999999999987013,0.9999999999987013,0.9999999999487013,,
100,24,81,0,79,0,0.9999999999987654,0.9999999999987654,0.9999999999487654,,
100,23,84,0,76,0,0.9999999999988095,0.9999999999988095,0.9999999999488096,,
100,22,81,0,79,0,0.9999999999987654,0.9999999999987654,0.9999999999487654,,
100,21,86,3,71,0,0.9662921348303749,0.9999999999988372,0.9828571428060343,,
100,20,81,6,72,1,0.9310344827575505,0.9878048780475758,0.958579881605714,,
100,19,72,3,81,4,0.95999999999872,0.947368421051385,0.9536423840546993,,
100,18,81,6,70,3,0.9310344827575505,0.9642857142845663,0.947368421001539,,
100,17,68,12,74,6,0.8499999999989375,0.9189189189176771,0.883116883065812,,
100,16,63,8,77,12,0.8873239436607221,0.83999999999888,0.8630136985789922,,
100,15,59,13,74,14,0.8194444444433063,0.8082191780810846,0.8137931033971557,,
100,14,55,15,57,33,0.7857142857131633,0.6249999999992898,0.6962025315953373,,
100,13,61,18,50,31,0.7721518987331998,0.6630434782601489,0.7134502923471153,,
100,12,54,26,48,32,0.6749999999991563,0.6279069767434559,0.6506024095878356,,
100,11,39,41,42,38,0.4874999999993906,0.5064935064928487,0.49681528657358914,,
100,10,48,28,48,36,0.63157894736759,0.5714285714278912,0.599999999949375,,
100,9,39,37,44,40,0.5131578947361669,0.49367088607532444,0.5032258064009824,,
100,8,42,24,47,47,0.6363636363626721,0.4719101123590203,0.5419354838213694,,
100,7,41,35,41,43,0.5394736842098165,0.48809523809465705,0.5124999999494844,,
100,6,42,41,44,33,0.5060240963849325,0.5599999999992533,0.5316455695697083,,
100,5,38,35,45,42,0.5205479452047663,0.47499999999940623,0.4967320260932461,,
100,4,55,32,35,38,0.6321839080452504,0.5913978494617297,0.6111111110604877,,
100,3,33,45,45,37,0.4230769230763807,0.47142857142789796,0.4459459458954894,,
100,2,35,41,49,35,0.4605263157888677,0.4999999999992857,0.4794520547439482,,
100,1,41,49,31,39,0.4555555555550494,0.5124999999993594,0.4823529411260761,,
