clique size,fraction correct
500,0.99
494,0.97
489,0.99
484,0.97
479,1.0
474,0.99
469,0.97
464,0.98
459,0.99
454,0.98
449,0.97
444,0.99
439,0.97
434,0.99
429,1.0
424,0.97
419,0.99
414,0.99
409,0.99
404,0.99
399,0.98
394,0.98
389,0.99
384,0.99
379,0.99
373,0.99
368,0.99
363,1.0
358,0.99
353,0.99
348,0.99
343,0.99
338,0.98
333,0.99
328,0.99
323,0.98
318,0.99
313,0.99
308,0.99
303,0.99
298,0.97
293,0.99
288,0.99
283,0.99
278,0.99
273,0.99
268,1.0
263,0.99
258,0.99
253,0.96
247,0.98
242,0.99
237,0.99
232,0.99
227,0.99
222,0.99
217,0.99
212,1.0
207,0.99
202,0.97
197,0.99
192,0.99
187,0.98
182,1.0
177,0.99
172,1.0
167,0.99
162,0.94
157,0.94
152,0.92
147,0.89
142,0.82
137,0.8
132,0.75
127,0.68
121,0.62
116,0.61
111,0.57
106,0.54
101,0.53
96,0.48
91,0.45
86,0.46
81,0.49
76,0.52
71,0.53
66,0.47
61,0.52
56,0.56
51,0.49
46,0.54
41,0.47
36,0.51
31,0.53
26,0.56
21,0.53
16,0.53
11,0.43
6,0.47
1,0.44
