clique size,fraction correct
144,0.97
142,0.98
141,0.99
139,0.98
138,0.98
136,0.98
135,0.99
133,0.98
132,0.99
131,0.99
129,0.99
128,0.99
126,0.98
125,0.99
123,0.98
122,1.0
120,1.0
119,1.0
118,0.97
116,0.98
115,0.99
113,0.97
112,0.99
110,0.99
109,0.98
107,0.98
106,0.98
105,0.99
103,1.0
102,0.97
100,0.98
99,0.99
97,0.98
96,1.0
94,0.99
93,0.99
92,0.99
90,0.98
89,0.99
87,0.99
86,0.99
84,0.99
83,0.96
81,0.99
80,0.97
79,0.99
77,0.97
76,0.97
74,0.99
73,0.97
71,0.99
70,0.99
68,0.98
67,0.97
66,0.99
64,0.99
63,0.99
61,0.97
60,0.99
58,0.95
57,0.97
55,0.93
54,0.89
53,0.89
51,0.87
50,0.77
48,0.76
47,0.69
45,0.74
44,0.74
42,0.58
41,0.59
40,0.59
38,0.51
37,0.57
35,0.51
34,0.53
32,0.51
31,0.58
29,0.56
28,0.5
27,0.42
25,0.46
24,0.56
22,0.57
21,0.5
19,0.52
18,0.47
16,0.51
15,0.56
14,0.49
12,0.47
11,0.51
9,0.54
8,0.49
6,0.43
5,0.52
3,0.48
2,0.53
1,0.48
