N_value,clique_size,TP,FP,TN,FN,precision,recall,F1,AUC_ROC,total_params
200,50,81,7,72,0,0.9204545454534995,0.9999999999987654,0.9585798816057561,,
200,49,91,4,65,0,0.9578947368410969,0.9999999999989011,0.978494623604885,,
200,48,82,3,75,0,0.9647058823518062,0.9999999999987804,0.9820359280925526,,
200,47,80,2,78,0,0.9756097560963712,0.99999999999875,0.9876543209364427,,
200,46,64,4,92,0,0.9411764705868512,0.9999999999984375,0.9696969696455464,,
200,45,79,2,79,0,0.9753086419741045,0.9999999999987341,0.9874999999487735,,
200,44,88,4,68,0,0.9565217391293951,0.9999999999988636,0.977777777726716,,
200,43,71,3,86,0,0.9594594594581629,0.9999999999985916,0.9793103447762568,,
200,42,81,6,73,0,0.9310344827575505,0.9999999999987654,0.96428571423463,,
200,41,92,1,67,0,0.9892473118268933,0.999999999998913,0.9945945945435207,,
200,40,83,1,76,0,0.9880952380940617,0.9999999999987952,0.9940119759967155,,
200,39,79,4,77,0,0.9518072289145159,0.9999999999987341,0.9753086419241349,,
200,38,85,3,72,0,0.9659090909079933,0.9999999999988235,0.9826589594864512,,
200,37,74,4,82,0,0.9487179487167324,0.9999999999986486,0.9736842104750691,,
200,36,83,5,72,0,0.9431818181807463,0.9999999999987952,0.970760233867036,,
200,35,80,3,77,0,0.9638554216855857,0.99999999999875,0.9815950919733525,,
200,34,79,1,80,0,0.9874999999987656,0.9999999999987341,0.9937106917726515,,
200,33,82,6,72,0,0.931818181817123,0.9999999999987804,0.9647058823018684,,
200,32,83,3,74,0,0.9651162790686452,0.9999999999987952,0.9822485206589125,,
200,31,84,3,73,0,0.9655172413782005,0.9999999999988095,0.9824561402997435,,
200,30,90,3,67,0,0.9677419354828304,0.9999999999988889,0.9836065573259876,,
200,29,79,6,75,0,0.9294117647047889,0.9999999999987341,0.9634146340952334,,
200,28,92,3,64,1,0.9684210526305596,0.9892473118268933,0.9787234042042836,,
200,27,78,6,74,2,0.9285714285703232,0.9749999999987812,0.9512195121439916,,
200,26,77,3,75,5,0.9624999999987969,0.9390243902427573,0.9506172838994512,,
200,25,63,8,83,6,0.8873239436607221,0.9130434782595462,0.8999999999487245,,
200,24,68,5,77,10,0.9315068493137925,0.871794871793754,0.900662251604491,,
200,23,66,3,77,14,0.9565217391290485,0.8249999999989688,0.8859060402175398,,
200,22,52,2,87,19,0.9629629629611797,0.7323943661961515,0.8319999999495935,,
200,21,45,8,68,39,0.8490566037719829,0.535714285713648,0.6569343065209441,,
200,20,44,7,78,31,0.862745098037524,0.5866666666658844,0.6984126983634039,,
200,19,33,2,85,40,0.9428571428544489,0.4520547945199287,0.6111111110661693,,
200,18,27,4,69,60,0.8709677419326743,0.3103448275858502,0.45762711860455335,,
200,17,19,3,71,67,0.8636363636324381,0.22093023255788263,0.35185185181875855,,
200,16,20,3,71,66,0.8695652173875237,0.2325581395346133,0.36697247703025,,
200,15,10,3,81,66,0.7692307692248521,0.1315789473682479,0.22471910109814414,,
200,14,10,0,77,73,0.99999999999,0.12048192771069821,0.21505376342120475,,
200,13,6,8,80,66,0.42857142856836733,0.08333333333321759,0.13953488369334774,,
200,12,10,4,72,74,0.7142857142806123,0.11904761904747732,0.20408163262815493,,
200,11,10,2,95,53,0.8333333333263889,0.15873015872990678,0.26666666663907557,,
200,10,6,1,76,77,0.8571428571306122,0.07228915662641892,0.13333333331869135,,
200,9,1,4,79,76,0.199999999996,0.012987012986996121,0.02439024389092802,,
200,8,3,1,80,76,0.74999999998125,0.037974683544255726,0.07228915661715778,,
200,7,7,2,71,80,0.7777777777691358,0.08045977011485005,0.14583333331603732,,
200,6,7,1,82,70,0.8749999999890625,0.09090909090897284,0.16470588233550174,,
200,5,4,3,74,79,0.5714285714204081,0.04819277108427929,0.08888888887434568,,
200,4,1,2,75,82,0.3333333333222222,0.012048192771069822,0.023255813946700923,,
200,3,4,5,80,71,0.44444444443950615,0.05333333333326222,0.09523809521873583,,
200,2,1,2,82,75,0.3333333333222222,0.013157894736824792,0.02531645568883192,,
200,1,7,2,77,74,0.7777777777691358,0.08641975308631306,0.1555555555372099,,
