N_value,clique_size,TP,FP,TN,FN,precision,recall,F1
3000,150,78,10,72,0,0.8863636363626292,0.9999999999987179,0.9397590360936275
3000,148,83,2,75,0,0.9764705882341453,0.9999999999987952,0.9880952380440688
3000,146,91,5,64,0,0.9479166666656792,0.9999999999989011,0.9732620320345564
3000,145,81,3,76,0,0.9642857142845663,0.9999999999987654,0.9818181817670082
3000,143,78,7,75,0,0.9176470588224498,0.9999999999987179,0.9570552146728443
3000,142,78,2,80,0,0.9749999999987812,0.9999999999987179,0.987341772100657
3000,140,77,9,74,0,0.8953488372082612,0.9999999999987013,0.9447852760226128
3000,139,79,2,79,0,0.9753086419741045,0.9999999999987341,0.9874999999487735
3000,137,83,5,72,0,0.9431818181807463,0.9999999999987952,0.970760233867036
3000,136,81,2,77,0,0.9759036144566555,0.9999999999987654,0.9878048779975833
3000,134,80,6,74,0,0.9302325581384532,0.99999999999875,0.963855421635651
3000,133,84,4,72,0,0.9545454545443698,0.9999999999988095,0.9767441859954028
3000,131,84,6,70,0,0.9333333333322963,0.9999999999988095,0.96551724132826
3000,130,73,2,85,0,0.9733333333320355,0.9999999999986301,0.9864864864351626
3000,128,74,1,85,0,0.9866666666653511,0.9999999999986486,0.9932885905526958
3000,127,78,3,79,0,0.9629629629617741,0.9999999999987179,0.9811320754204819
3000,125,75,4,81,0,0.9493670886063932,0.9999999999986666,0.9740259739747428
3000,124,79,6,75,0,0.9294117647047889,0.9999999999987341,0.9634146340952334
3000,122,70,1,89,0,0.9859154929563578,0.9999999999985714,0.9929078013670338
3000,121,81,8,71,0,0.9101123595495392,0.9999999999987654,0.9529411764195779
3000,119,88,3,69,0,0.9670329670319043,0.9999999999988636,0.9832402234126024
3000,118,77,5,78,0,0.9390243902427573,0.9999999999987013,0.9685534590683279
3000,116,73,7,80,0,0.9124999999988593,0.9999999999986301,0.9542483659619292
3000,115,80,4,76,0,0.9523809523798186,0.99999999999875,0.9756097560464009
3000,113,73,3,84,0,0.9605263157882098,0.9999999999986301,0.9798657717607855
3000,112,81,6,73,0,0.9310344827575505,0.9999999999987654,0.96428571423463
3000,110,85,6,69,0,0.9340659340649076,0.9999999999988235,0.9659090908580513
3000,109,80,6,74,0,0.9302325581384532,0.99999999999875,0.963855421635651
3000,107,79,5,76,0,0.9404761904750708,0.9999999999987341,0.9693251533230908
3000,106,75,6,79,0,0.9259259259247827,0.9999999999986666,0.9615384614873027
3000,104,69,5,86,0,0.9324324324311724,0.9999999999985507,0.9650349649836765
3000,103,74,3,83,0,0.9610389610377129,0.9999999999986486,0.9801324502798474
3000,101,81,4,75,0,0.9529411764694671,0.9999999999987654,0.9759036144066845
3000,100,80,4,76,0,0.9523809523798186,0.99999999999875,0.9756097560464009
3000,98,84,2,74,0,0.9767441860453758,0.9999999999988095,0.9882352940664912
3000,97,76,5,79,0,0.9382716049371133,0.9999999999986842,0.9681528661908557
3000,95,90,0,70,0,0.9999999999988889,0.9999999999988889,0.9999999999488889
3000,94,81,4,75,0,0.9529411764694671,0.9999999999987654,0.9759036144066845
3000,92,94,5,61,0,0.9494949494939904,0.9999999999989362,0.9740932641977288
3000,91,89,8,62,1,0.9175257731949303,0.9888888888877901,0.9518716577030627
3000,89,74,3,81,2,0.9610389610377129,0.9736842105250346,0.9673202613866461
3000,88,84,3,73,0,0.9655172413782005,0.9999999999988095,0.9824561402997435
3000,86,79,4,70,7,0.9518072289145159,0.9186046511617225,0.9349112425524596
3000,85,70,2,84,4,0.9722222222208718,0.9459459459446676,0.9589041095377369
3000,83,60,7,83,10,0.8955223880583648,0.8571428571416326,0.8759124087078692
3000,82,68,2,75,15,0.9714285714271836,0.8192771084327478,0.8888888888380879
3000,80,65,3,80,12,0.9558823529397708,0.8441558441547479,0.896551724086887
3000,79,66,3,74,17,0.9565217391290485,0.7951807228906081,0.8684210525808604
3000,77,61,7,69,23,0.8970588235280925,0.7261904761896116,0.8026315788968663
