N_value,clique_size,TP,FP,TN,FN,precision,recall,F1
1000,120,77,0,83,0,0.9999999999987013,0.9999999999987013,0.9999999999487013
1000,118,83,1,76,0,0.9880952380940617,0.9999999999987952,0.9940119759967155
1000,117,65,0,95,0,0.9999999999984616,0.9999999999984616,0.9999999999484617
1000,116,81,0,79,0,0.9999999999987654,0.9999999999987654,0.9999999999487654
1000,115,80,0,80,0,0.99999999999875,0.99999999999875,0.9999999999487501
1000,113,80,0,80,0,0.99999999999875,0.99999999999875,0.9999999999487501
1000,112,81,1,78,0,0.9878048780475758,0.9999999999987654,0.9938650306236291
1000,111,78,0,82,0,0.9999999999987179,0.9999999999987179,0.9999999999487179
1000,110,76,0,84,0,0.9999999999986842,0.9999999999986842,0.9999999999486842
1000,109,70,1,89,0,0.9859154929563578,0.9999999999985714,0.9929078013670338
1000,107,71,0,89,0,0.9999999999985916,0.9999999999985916,0.9999999999485916
1000,106,80,1,79,0,0.987654320986435,0.99999999999875,0.9937888198245438
1000,105,76,0,84,0,0.9999999999986842,0.9999999999986842,0.9999999999486842
1000,104,76,0,84,0,0.9999999999986842,0.9999999999986842,0.9999999999486842
1000,103,75,1,84,0,0.9868421052618594,0.9999999999986666,0.9933774833923951
1000,101,82,0,78,0,0.9999999999987804,0.9999999999987804,0.9999999999487805
1000,100,76,1,83,0,0.9870129870117051,0.9999999999986842,0.9934640522362851
1000,99,79,1,80,0,0.9874999999987656,0.9999999999987341,0.9937106917726515
1000,98,86,0,74,0,0.9999999999988372,0.9999999999988372,0.9999999999488371
1000,97,86,0,74,0,0.9999999999988372,0.9999999999988372,0.9999999999488371
1000,95,67,0,93,0,0.9999999999985074,0.9999999999985074,0.9999999999485074
1000,94,83,0,77,0,0.9999999999987952,0.9999999999987952,0.9999999999487952
1000,93,71,0,89,0,0.9999999999985916,0.9999999999985916,0.9999999999485916
1000,92,78,0,82,0,0.9999999999987179,0.9999999999987179,0.9999999999487179
1000,91,80,0,80,0,0.99999999999875,0.99999999999875,0.9999999999487501
1000,89,92,0,68,0,0.999999999998913,0.999999999998913,0.9999999999489131
1000,88,74,0,86,0,0.9999999999986486,0.9999999999986486,0.9999999999486486
1000,87,82,0,78,0,0.9999999999987804,0.9999999999987804,0.9999999999487805
1000,86,71,0,89,0,0.9999999999985916,0.9999999999985916,0.9999999999485916
1000,85,68,0,92,0,0.9999999999985294,0.9999999999985294,0.9999999999485294
1000,83,79,1,80,0,0.9874999999987656,0.9999999999987341,0.9937106917726515
1000,82,83,1,76,0,0.9880952380940617,0.9999999999987952,0.9940119759967155
1000,81,85,0,75,0,0.9999999999988235,0.9999999999988235,0.9999999999488236
1000,80,78,0,82,0,0.9999999999987179,0.9999999999987179,0.9999999999487179
1000,79,84,1,75,0,0.9882352941164844,0.9999999999988095,0.9940828401855116
1000,77,75,0,85,0,0.9999999999986666,0.9999999999986666,0.9999999999486666
1000,76,79,2,79,0,0.9753086419741045,0.9999999999987341,0.9874999999487735
1000,75,80,0,80,0,0.99999999999875,0.99999999999875,0.9999999999487501
