N_value,clique_size,TP,FP,TN,FN,precision,recall,F1,AUC_ROC,total_params
600,180,83,0,77,0,0.9999999999987952,0.9999999999987952,0.9999999999487952,,
600,178,77,0,83,0,0.9999999999987013,0.9999999999987013,0.9999999999487013,,
600,176,77,0,83,0,0.9999999999987013,0.9999999999987013,0.9999999999487013,,
600,174,90,1,69,0,0.9890109890099021,0.9999999999988889,0.9944751380704496,,
600,172,88,1,71,0,0.9887640449427092,0.9999999999988636,0.9943502824347537,,
600,170,81,0,79,0,0.9999999999987654,0.9999999999987654,0.9999999999487654,,
600,169,78,2,80,0,0.9749999999987812,0.9999999999987179,0.987341772100657,,
600,167,85,0,75,0,0.9999999999988235,0.9999999999988235,0.9999999999488236,,
600,165,77,0,83,0,0.9999999999987013,0.9999999999987013,0.9999999999487013,,
600,163,76,0,84,0,0.9999999999986842,0.9999999999986842,0.9999999999486842,,
600,161,83,0,77,0,0.9999999999987952,0.9999999999987952,0.9999999999487952,,
600,160,81,1,78,0,0.9878048780475758,0.9999999999987654,0.9938650306236291,,
600,158,76,0,84,0,0.9999999999986842,0.9999999999986842,0.9999999999486842,,
600,156,75,0,85,0,0.9999999999986666,0.9999999999986666,0.9999999999486666,,
600,154,76,0,84,0,0.9999999999986842,0.9999999999986842,0.9999999999486842,,
600,152,78,0,82,0,0.9999999999987179,0.9999999999987179,0.9999999999487179,,
600,151,79,0,81,0,0.9999999999987341,0.9999999999987341,0.9999999999487341,,
600,149,75,2,83,0,0.974025974024709,0.9999999999986666,0.986842105211868,,
600,147,70,0,90,0,0.9999999999985714,0.9999999999985714,0.9999999999485714,,
600,145,87,0,73,0,0.9999999999988506,0.9999999999988506,0.9999999999488507,,
600,143,76,0,84,0,0.9999999999986842,0.9999999999986842,0.9999999999486842,,
600,142,73,0,87,0,0.9999999999986301,0.9999999999986301,0.9999999999486302,,
600,140,88,0,72,0,0.9999999999988636,0.9999999999988636,0.9999999999488636,,
600,138,84,1,75,0,0.9882352941164844,0.9999999999988095,0.9940828401855116,,
600,136,83,0,77,0,0.9999999999987952,0.9999999999987952,0.9999999999487952,,
600,134,75,0,85,0,0.9999999999986666,0.9999999999986666,0.9999999999486666,,
600,132,87,0,73,0,0.9999999999988506,0.9999999999988506,0.9999999999488507,,
