clique size,fraction correct
96,1.0
95,1.0
94,0.99
93,1.0
92,1.0
91,1.0
90,0.99
89,1.0
88,1.0
87,0.99
86,1.0
85,1.0
84,0.99
83,1.0
82,1.0
81,1.0
80,0.99
79,0.99
78,1.0
77,0.99
76,1.0
75,1.0
74,0.99
73,1.0
72,0.99
71,1.0
70,0.99
69,1.0
68,1.0
67,0.99
66,1.0
65,1.0
64,1.0
63,1.0
62,1.0
61,0.99
60,1.0
59,1.0
58,0.99
57,1.0
56,1.0
55,0.99
54,0.99
53,0.99
52,1.0
51,0.97
50,0.93
49,0.96
48,0.87
47,0.9
46,0.81
45,0.78
44,0.79
43,0.68
42,0.73
41,0.72
40,0.6
39,0.56
38,0.63
37,0.54
36,0.58
35,0.59
34,0.56
33,0.56
32,0.43
31,0.53
30,0.53
29,0.57
28,0.58
27,0.51
26,0.44
25,0.46
24,0.46
23,0.53
22,0.54
21,0.52
20,0.54
19,0.53
18,0.46
17,0.54
16,0.5
15,0.54
14,0.46
13,0.54
12,0.49
11,0.56
10,0.53
9,0.48
8,0.42
7,0.49
6,0.45
5,0.53
4,0.5
3,0.44
2,0.48
1,0.54
