N_value,clique_size,TP,FP,TN,FN,precision,recall,F1,AUC_ROC,total_params
400,120,80,2,78,0,0.9756097560963712,0.99999999999875,0.9876543209364427,,
400,118,81,1,78,0,0.9878048780475758,0.9999999999987654,0.9938650306236291,,
400,117,75,0,85,0,0.9999999999986666,0.9999999999986666,0.9999999999486666,,
400,116,93,2,65,0,0.9789473684200222,0.9999999999989247,0.9893617020766128,,
400,115,90,0,70,0,0.9999999999988889,0.9999999999988889,0.9999999999488889,,
400,113,83,0,77,0,0.9999999999987952,0.9999999999987952,0.9999999999487952,,
400,112,70,0,90,0,0.9999999999985714,0.9999999999985714,0.9999999999485714,,
400,111,84,1,75,0,0.9882352941164844,0.9999999999988095,0.9940828401855116,,
400,110,80,0,80,0,0.99999999999875,0.99999999999875,0.9999999999487501,,
400,109,68,1,91,0,0.9855072463753833,0.9999999999985294,0.9927007298755608,,
400,107,76,0,84,0,0.9999999999986842,0.9999999999986842,0.9999999999486842,,
400,106,76,1,83,0,0.9870129870117051,0.9999999999986842,0.9934640522362851,,
400,105,75,0,85,0,0.9999999999986666,0.9999999999986666,0.9999999999486666,,
400,104,80,0,80,0,0.99999999999875,0.99999999999875,0.9999999999487501,,
400,103,87,0,73,0,0.9999999999988506,0.9999999999988506,0.9999999999488507,,
400,101,75,0,85,0,0.9999999999986666,0.9999999999986666,0.9999999999486666,,
400,100,83,0,77,0,0.9999999999987952,0.9999999999987952,0.9999999999487952,,
400,99,82,0,78,0,0.9999999999987804,0.9999999999987804,0.9999999999487805,,
400,98,72,1,87,0,0.9863013698616626,0.9999999999986111,0.9931034482244947,,
400,97,83,2,75,0,0.9764705882341453,0.9999999999987952,0.9880952380440688,,
400,95,73,1,86,0,0.9864864864851534,0.9999999999986301,0.9931972788602156,,
400,94,85,2,73,0,0.9770114942517505,0.9999999999988235,0.9883720929721134,,
400,93,75,1,84,0,0.9868421052618594,0.9999999999986666,0.9933774833923951,,
400,92,87,0,73,0,0.9999999999988506,0.9999999999988506,0.9999999999488507,,
400,91,79,2,79,0,0.9753086419741045,0.9999999999987341,0.9874999999487735,,
400,89,77,2,81,0,0.9746835443025637,0.9999999999987013,0.9871794871282297,,
400,88,84,0,76,0,0.9999999999988095,0.9999999999988095,0.9999999999488096,,
400,87,80,1,79,0,0.987654320986435,0.99999999999875,0.9937888198245438,,
400,86,77,1,82,0,0.9871794871782216,0.9999999999987013,0.9935483870454943,,
400,85,74,0,86,0,0.9999999999986486,0.9999999999986486,0.9999999999486486,,
400,83,91,0,69,0,0.9999999999989011,0.9999999999989011,0.9999999999489011,,
400,82,82,0,78,0,0.9999999999987804,0.9999999999987804,0.9999999999487805,,
400,81,80,0,80,0,0.99999999999875,0.99999999999875,0.9999999999487501,,
400,80,97,0,63,0,0.999999999998969,0.999999999998969,0.999999999948969,,
400,79,75,0,85,0,0.9999999999986666,0.9999999999986666,0.9999999999486666,,
400,77,82,0,78,0,0.9999999999987804,0.9999999999987804,0.9999999999487805,,
400,76,91,0,69,0,0.9999999999989011,0.9999999999989011,0.9999999999489011,,
400,75,75,1,84,0,0.9868421052618594,0.9999999999986666,0.9933774833923951,,
400,74,75,2,83,0,0.974025974024709,0.9999999999986666,0.986842105211868,,
400,73,74,3,83,0,0.9610389610377129,0.9999999999986486,0.9801324502798474,,
400,71,89,2,69,0,0.9780219780209033,0.9999999999988763,0.9888888888377962,,
400,70,94,1,65,0,0.9894736842094848,0.9999999999989362,0.9947089946579436,,
400,69,74,2,84,0,0.9736842105250346,0.9999999999986486,0.9866666666153598,,
400,68,80,2,78,0,0.9756097560963712,0.99999999999875,0.9876543209364427,,
400,67,82,1,77,0,0.9879518072277254,0.9999999999987804,0.9939393938881909,,
400,65,78,1,81,0,0.9873417721506489,0.9999999999987179,0.9936305731971438,,
400,64,79,1,80,0,0.9874999999987656,0.9999999999987341,0.9937106917726515,,
400,63,83,3,74,0,0.9651162790686452,0.9999999999987952,0.9822485206589125,,
400,62,86,0,74,0,0.9999999999988372,0.9999999999988372,0.9999999999488371,,
400,61,73,1,85,1,0.9864864864851534,0.9864864864851534,0.9864864864351534,,
400,59,78,1,81,0,0.9873417721506489,0.9999999999987179,0.9936305731971438,,
400,58,75,0,85,0,0.9999999999986666,0.9999999999986666,0.9999999999486666,,
400,57,83,1,76,0,0.9880952380940617,0.9999999999987952,0.9940119759967155,,
400,56,72,2,84,2,0.9729729729716581,0.9729729729716581,0.9729729729216581,,
400,55,87,2,71,0,0.977528089886542,0.9999999999988506,0.9886363635852466,,
400,53,72,0,85,3,0.9999999999986111,0.95999999999872,0.9795918366833819,,
400,52,79,0,80,1,0.9999999999987341,0.9874999999987656,0.9937106917726515,,
400,51,69,2,87,2,0.9718309859141242,0.9718309859141242,0.9718309858641242,,
400,50,77,2,71,10,0.9746835443025637,0.8850574712633504,0.9277108433224923,,
400,49,80,0,72,8,0.99999999999875,0.909090909089876,0.9523809523299319,,
400,47,79,0,69,12,0.9999999999987341,0.8681318681309141,0.9294117646550382,,
400,46,69,1,69,21,0.9857142857128776,0.7666666666658148,0.8624999999497031,,
400,45,61,0,85,14,0.9999999999983606,0.8133333333322489,0.8970588234786224,,
400,44,52,0,82,26,0.9999999999980769,0.666666666665812,0.7999999999507693,,
400,43,48,2,81,29,0.95999999999808,0.6233766233758138,0.7559055117620931,,
400,41,51,1,75,33,0.9807692307673447,0.6071428571421343,0.7499999999516651,,
400,40,50,0,66,44,0.9999999999979999,0.5319148936164554,0.6944444443981481,,
400,39,32,0,80,48,0.9999999999968749,0.3999999999995,0.5714285713867348,,
400,38,29,1,72,58,0.9666666666634445,0.3333333333329502,0.49572649568751553,,
400,37,27,0,80,53,0.9999999999962964,0.33749999999957814,0.5046728971575859,,
400,35,20,1,84,55,0.9523809523764173,0.2666666666663111,0.4166666666316189,,
400,34,13,0,77,70,0.9999999999923077,0.15662650602390768,0.27083333330935333,,
400,33,17,1,76,66,0.9444444444391976,0.20481927710818695,0.3366336633363788,,
400,32,21,1,63,75,0.9545454545411158,0.21874999999977213,0.35593220335889114,,
400,31,14,0,79,67,0.9999999999928572,0.1728395061726261,0.29473684207951245,,
400,29,7,0,80,73,0.9999999999857143,0.08749999999989062,0.1609195402147179,,
400,28,3,1,91,65,0.74999999998125,0.04411764705875865,0.08333333332260802,,
400,27,7,3,76,74,0.699999999993,0.08641975308631306,0.15384615382625286,,
400,26,7,2,76,75,0.7777777777691358,0.08536585365843248,0.15384615382799177,,
400,25,2,4,90,64,0.33333333332777776,0.03030303030298439,0.05555555554012345,,
400,23,1,1,76,82,0.499999999975,0.012048192771069822,0.023529411760055362,,
400,22,4,0,79,77,0.999999999975,0.04938271604932175,0.09411764704963323,,
400,21,1,0,88,71,0.9999999999,0.013888888888869598,0.027397260271195347,,
400,20,3,2,76,79,0.599999999988,0.03658536585361392,0.0689655172303871,,
400,19,4,2,81,73,0.6666666666555555,0.051948051947984485,0.09638554215502977,,
400,17,5,1,75,79,0.8333333333194445,0.05952380952373866,0.11111111109841974,,
400,16,2,1,72,85,0.6666666666444444,0.022988505747100013,0.044444444437901236,,
400,15,2,0,86,72,0.99999999995,0.027027027026990502,0.05263157894210525,,
400,14,3,1,68,88,0.74999999998125,0.03296703296699674,0.06315789472864267,,
400,13,0,1,86,73,0.0,0.0,0.0,,
400,11,2,3,67,88,0.399999999992,0.02222222222219753,0.04210526314783379,,
400,10,1,1,68,90,0.499999999975,0.010989010988998913,0.02150537633983119,,
400,9,2,2,71,85,0.4999999999875,0.022988505747100013,0.043956043947542565,,
400,8,2,2,80,76,0.4999999999875,0.025641025640992767,0.048780487795478875,,
400,7,1,2,74,83,0.3333333333222222,0.011904761904747731,0.022988505740414847,,
400,5,1,2,76,81,0.3333333333222222,0.012195121951204639,0.02352941175784083,,
400,4,1,1,91,67,0.499999999975,0.01470588235291955,0.028571428565795916,,
400,3,0,1,77,82,0.0,0.0,0.0,,
400,2,0,0,85,75,0.0,0.0,0.0,,
400,1,0,0,85,75,0.0,0.0,0.0,,
