N_value,clique_size,TP,FP,TN,FN,precision,recall,F1
1000,120,79,0,81,0,0.9999999999987341,0.9999999999987341,0.9999999999487341
1000,118,91,0,69,0,0.9999999999989011,0.9999999999989011,0.9999999999489011
1000,117,84,1,75,0,0.9882352941164844,0.9999999999988095,0.9940828401855116
1000,116,74,0,86,0,0.9999999999986486,0.9999999999986486,0.9999999999486486
1000,115,75,1,84,0,0.9868421052618594,0.9999999999986666,0.9933774833923951
1000,113,82,1,77,0,0.9879518072277254,0.9999999999987804,0.9939393938881909
1000,112,96,1,63,0,0.9896907216484642,0.9999999999989583,0.9948186527987113
1000,111,78,1,81,0,0.9873417721506489,0.9999999999987179,0.9936305731971438
1000,110,76,3,81,0,0.9620253164544784,0.9999999999986842,0.980645161239076
1000,109,86,1,73,0,0.9885057471253006,0.9999999999988372,0.9942196531280431
1000,107,78,1,81,0,0.9873417721506489,0.9999999999987179,0.9936305731971438
1000,106,78,1,81,0,0.9873417721506489,0.9999999999987179,0.9936305731971438
1000,105,86,1,73,0,0.9885057471253006,0.9999999999988372,0.9942196531280431
1000,104,81,1,78,0,0.9878048780475758,0.9999999999987654,0.9938650306236291
1000,103,75,3,82,0,0.9615384615372288,0.9999999999986666,0.9803921568114828
1000,101,83,1,76,0,0.9880952380940617,0.9999999999987952,0.9940119759967155
1000,100,82,0,78,0,0.9999999999987804,0.9999999999987804,0.9999999999487805
1000,99,77,1,82,0,0.9871794871782216,0.9999999999987013,0.9935483870454943
1000,98,76,0,84,0,0.9999999999986842,0.9999999999986842,0.9999999999486842
1000,97,87,0,73,0,0.9999999999988506,0.9999999999988506,0.9999999999488507
1000,95,79,0,81,0,0.9999999999987341,0.9999999999987341,0.9999999999487341
1000,94,81,0,79,0,0.9999999999987654,0.9999999999987654,0.9999999999487654
1000,93,74,2,84,0,0.9736842105250346,0.9999999999986486,0.9866666666153598
1000,92,75,0,85,0,0.9999999999986666,0.9999999999986666,0.9999999999486666
1000,91,77,1,82,0,0.9871794871782216,0.9999999999987013,0.9935483870454943
1000,89,74,1,85,0,0.9866666666653511,0.9999999999986486,0.9932885905526958
1000,88,78,0,82,0,0.9999999999987179,0.9999999999987179,0.9999999999487179
1000,87,94,0,66,0,0.9999999999989362,0.9999999999989362,0.9999999999489362
1000,86,79,1,80,0,0.9874999999987656,0.9999999999987341,0.9937106917726515
1000,85,81,1,78,0,0.9878048780475758,0.9999999999987654,0.9938650306236291
1000,83,72,2,86,0,0.9729729729716581,0.9999999999986111,0.9863013698116719
1000,82,79,0,81,0,0.9999999999987341,0.9999999999987341,0.9999999999487341
1000,81,78,1,81,0,0.9873417721506489,0.9999999999987179,0.9936305731971438
1000,80,74,0,85,1,0.9999999999986486,0.9866666666653511,0.9932885905526958
1000,79,75,0,85,0,0.9999999999986666,0.9999999999986666,0.9999999999486666
1000,77,74,0,86,0,0.9999999999986486,0.9999999999986486,0.9999999999486486
1000,76,74,1,84,1,0.9866666666653511,0.9866666666653511,0.9866666666153512
1000,75,71,1,87,1,0.9861111111097415,0.9861111111097415,0.9861111110597415
1000,74,84,3,73,0,0.9655172413782005,0.9999999999988095,0.9824561402997435
1000,73,80,0,80,0,0.99999999999875,0.99999999999875,0.9999999999487501
1000,71,76,3,80,1,0.9620253164544784,0.9870129870117051,0.9743589743077333
1000,70,80,0,71,9,0.99999999999875,0.898876404493372,0.9467455620791989
1000,69,84,0,72,4,0.9999999999988095,0.9545454545443698,0.9767441859954028
1000,68,68,0,86,6,0.9999999999985294,0.9189189189176771,0.9577464788219798
1000,67,70,0,80,10,0.9999999999985714,0.8749999999989062,0.9333333332823112
1000,65,78,1,69,12,0.9873417721506489,0.8666666666657037,0.9230769230260425
1000,64,68,1,74,17,0.9855072463753833,0.7999999999990588,0.8831168830662759
1000,63,70,2,76,12,0.9722222222208718,0.8536585365843248,0.9090909090399393
1000,62,50,0,94,16,0.9999999999979999,0.7575757575746097,0.8620689654667062
1000,61,61,2,79,18,0.9682539682524313,0.7721518987331998,0.8591549295268894
1000,59,55,0,66,39,0.9999999999981818,0.5851063829781009,0.7382550335094815
1000,58,33,1,94,32,0.9705882352912629,0.5076923076915266,0.6666666666202223
1000,57,45,0,86,29,0.9999999999977778,0.6081081081072863,0.7563025209601016
1000,56,38,2,81,39,0.949999999997625,0.4935064935058526,0.6495726495265395
1000,55,30,1,82,47,0.9677419354807493,0.3896103896098836,0.5555555555135975
1000,53,26,2,70,62,0.9285714285681123,0.2954545454542097,0.44827586203156955
1000,52,30,1,70,59,0.9677419354807493,0.3370786516850145,0.49999999996084715
1000,51,24,1,68,67,0.95999999999616,0.2637362637359739,0.4137931034137485
1000,50,12,0,81,67,0.9999999999916667,0.1518987341770229,0.2637362637127883
1000,49,16,0,74,70,0.9999999999937501,0.18604651162769065,0.31372549016901197
1000,47,16,1,93,50,0.941176470582699,0.2424242424238751,0.3855421686411961
1000,46,16,0,81,63,0.9999999999937501,0.20253164556936387,0.33684210523443764
1000,45,8,1,90,61,0.8888888888790123,0.11594202898533922,0.20512820510726495
1000,44,8,0,85,67,0.9999999999875,0.10666666666652444,0.19277108431946582
1000,43,10,1,77,72,0.9090909090826447,0.1219512195120464,0.21505376341953983
1000,41,6,0,87,67,0.9999999999833333,0.08219178082180521,0.15189873416279442
1000,40,5,1,76,78,0.8333333333194445,0.060240963855349106,0.1123595505489711
1000,39,7,0,83,70,0.9999999999857143,0.09090909090897284,0.16666666665099203
1000,38,3,0,78,79,0.9999999999666667,0.03658536585361392,0.07058823528714187
1000,37,6,1,81,72,0.8571428571306122,0.0769230769229783,0.14117647057278893
1000,35,1,0,78,81,0.9999999999,0.012195121951204639,0.02409638553973
1000,34,1,1,78,80,0.499999999975,0.012345679012330437,0.02409638553740746
1000,33,3,0,76,81,0.9999999999666667,0.0357142857142432,0.06896551723456203
1000,32,3,0,71,86,0.9999999999666667,0.03370786516850145,0.06521739129789698
1000,31,1,0,84,75,0.9999999999,0.013157894736824792,0.02597402597139484
1000,29,0,0,74,86,0.0,0.0,0.0
1000,28,1,1,77,81,0.499999999975,0.012195121951204639,0.023809523804818593
1000,27,1,1,78,80,0.499999999975,0.012345679012330437,0.02409638553740746
1000,26,4,1,72,83,0.799999999984,0.045977011494200026,0.08695652172866257
1000,25,1,0,77,82,0.9999999999,0.012048192771069822,0.023809523807114513
1000,23,0,0,72,88,0.0,0.0,0.0
1000,22,0,1,82,77,0.0,0.0,0.0
1000,21,1,1,88,70,0.499999999975,0.014084507042233683,0.027397260268568212
1000,20,0,3,75,82,0.0,0.0,0.0
1000,19,1,0,83,76,0.9999999999,0.012987012986996121,0.025641025638428665
1000,17,0,1,86,73,0.0,0.0,0.0
1000,16,0,0,83,77,0.0,0.0,0.0
1000,15,2,1,84,73,0.6666666666444444,0.02666666666663111,0.05128205127452334
1000,14,1,0,78,81,0.9999999999,0.012195121951204639,0.02409638553973
1000,13,0,1,80,79,0.0,0.0,0.0
1000,11,1,1,73,85,0.499999999975,0.011627906976730665,0.022727272722778923
1000,10,1,1,76,82,0.499999999975,0.012048192771069822,0.023529411760055362
1000,9,1,1,82,76,0.499999999975,0.012987012986996121,0.025316455691203336
1000,8,2,0,76,82,0.99999999995,0.023809523809495463,0.046511627902325575
1000,7,0,0,88,72,0.0,0.0,0.0
1000,5,2,1,73,84,0.6666666666444444,0.02325581395346133,0.044943820218103774
1000,4,2,0,71,87,0.99999999995,0.0224719101123343,0.04395604395164835
1000,3,0,1,85,74,0.0,0.0,0.0
1000,2,0,0,91,69,0.0,0.0,0.0
1000,1,1,1,79,79,0.499999999975,0.012499999999984374,0.02439024389762046
