N_value,clique_size,TP,FP,TN,FN,precision,recall,F1,AUC_ROC,total_params
800,96,77,0,83,0,0.9999999999987013,0.9999999999987013,0.9999999999487013,,
800,95,85,0,75,0,0.9999999999988235,0.9999999999988235,0.9999999999488236,,
800,94,73,2,85,0,0.9733333333320355,0.9999999999986301,0.9864864864351626,,
800,93,77,0,83,0,0.9999999999987013,0.9999999999987013,0.9999999999487013,,
800,92,73,0,87,0,0.9999999999986301,0.9999999999986301,0.9999999999486302,,
800,91,68,1,91,0,0.9855072463753833,0.9999999999985294,0.9927007298755608,,
800,90,79,0,81,0,0.9999999999987341,0.9999999999987341,0.9999999999487341,,
800,89,79,1,80,0,0.9874999999987656,0.9999999999987341,0.9937106917726515,,
800,88,83,0,77,0,0.9999999999987952,0.9999999999987952,0.9999999999487952,,
800,87,84,0,76,0,0.9999999999988095,0.9999999999988095,0.9999999999488096,,
800,86,82,1,77,0,0.9879518072277254,0.9999999999987804,0.9939393938881909,,
800,85,78,1,81,0,0.9873417721506489,0.9999999999987179,0.9936305731971438,,
800,84,91,0,69,0,0.9999999999989011,0.9999999999989011,0.9999999999489011,,
800,83,75,1,84,0,0.9868421052618594,0.9999999999986666,0.9933774833923951,,
800,82,77,4,79,0,0.9506172839494437,0.9999999999987013,0.9746835442525958,,
800,81,83,0,77,0,0.9999999999987952,0.9999999999987952,0.9999999999487952,,
800,80,84,0,76,0,0.9999999999988095,0.9999999999988095,0.9999999999488096,,
800,79,83,0,77,0,0.9999999999987952,0.9999999999987952,0.9999999999487952,,
800,78,70,0,90,0,0.9999999999985714,0.9999999999985714,0.9999999999485714,,
800,77,90,0,70,0,0.9999999999988889,0.9999999999988889,0.9999999999488889,,
800,76,77,2,80,1,0.9746835443025637,0.9871794871782216,0.9808917196939754,,
800,75,86,3,71,0,0.9662921348303749,0.9999999999988372,0.9828571428060343,,
800,74,82,0,78,0,0.9999999999987804,0.9999999999987804,0.9999999999487805,,
800,73,78,1,81,0,0.9873417721506489,0.9999999999987179,0.9936305731971438,,
800,72,100,0,60,0,0.999999999999,0.999999999999,0.9999999999490001,,
800,71,74,0,85,1,0.9999999999986486,0.9866666666653511,0.9932885905526958,,
800,70,79,1,80,0,0.9874999999987656,0.9999999999987341,0.9937106917726515,,
800,69,79,1,79,1,0.9874999999987656,0.9874999999987656,0.9874999999487656,,
800,68,78,0,80,2,0.9999999999987179,0.9749999999987812,0.987341772100657,,
800,67,78,0,81,1,0.9999999999987179,0.9873417721506489,0.9936305731971438,,
800,66,81,0,77,2,0.9999999999987654,0.9759036144566555,0.9878048779975833,,
