clique size,fraction correct
144,0.99
142,1.0
141,0.99
139,0.99
138,0.99
136,0.99
135,0.99
133,0.99
132,1.0
131,0.99
129,1.0
128,0.99
126,0.99
125,0.99
123,0.99
122,1.0
120,0.99
119,1.0
118,0.99
116,0.98
115,1.0
113,1.0
112,0.98
110,1.0
109,0.99
107,1.0
106,1.0
105,0.99
103,0.99
102,1.0
100,1.0
99,0.99
97,1.0
96,1.0
94,1.0
93,0.99
92,0.99
90,1.0
89,0.99
87,0.99
86,1.0
84,0.99
83,1.0
81,1.0
80,0.99
79,0.99
77,0.99
76,1.0
74,0.99
73,0.99
71,1.0
70,1.0
68,1.0
67,0.99
66,0.99
64,0.99
63,0.99
61,0.99
60,1.0
58,0.99
57,1.0
55,0.99
54,0.99
53,1.0
51,0.99
50,0.99
48,0.99
47,0.99
45,0.98
44,0.97
42,0.91
41,0.91
40,0.9
38,0.83
37,0.78
35,0.64
34,0.7
32,0.56
31,0.62
29,0.55
28,0.54
27,0.61
25,0.49
24,0.54
22,0.55
21,0.53
19,0.47
18,0.59
16,0.46
15,0.53
14,0.57
12,0.51
11,0.5
9,0.46
8,0.47
6,0.53
5,0.4
3,0.5
2,0.47
1,0.5
