clique size,fraction correct
60,1.0
59,1.0
58,1.0
57,1.0
56,0.99
55,0.99
54,1.0
53,1.0
52,1.0
51,0.99
50,0.99
49,0.99
48,0.99
47,1.0
46,0.99
45,1.0
44,1.0
43,1.0
42,1.0
41,1.0
40,1.0
39,1.0
38,1.0
37,1.0
36,0.99
35,0.99
34,1.0
33,0.99
32,0.99
31,0.99
30,0.99
29,1.0
28,0.99
27,0.96
26,0.98
25,0.99
24,0.95
23,0.86
22,0.84
21,0.77
20,0.66
19,0.65
18,0.65
17,0.64
16,0.57
15,0.57
14,0.51
13,0.53
12,0.54
11,0.53
10,0.45
9,0.44
8,0.48
7,0.52
6,0.43
5,0.42
4,0.53
3,0.55
2,0.48
1,0.45
