N_value,clique_size,TP,FP,TN,FN,precision,recall,F1
1000,120,95,0,65,0,0.9999999999989474,0.9999999999989474,0.9999999999489475
1000,118,76,1,83,0,0.9870129870117051,0.9999999999986842,0.9934640522362851
1000,117,72,1,87,0,0.9863013698616626,0.9999999999986111,0.9931034482244947
1000,116,85,0,75,0,0.9999999999988235,0.9999999999988235,0.9999999999488236
1000,115,79,1,80,0,0.9874999999987656,0.9999999999987341,0.9937106917726515
1000,113,74,0,86,0,0.9999999999986486,0.9999999999986486,0.9999999999486486
1000,112,79,1,80,0,0.9874999999987656,0.9999999999987341,0.9937106917726515
1000,111,81,0,79,0,0.9999999999987654,0.9999999999987654,0.9999999999487654
1000,110,94,0,66,0,0.9999999999989362,0.9999999999989362,0.9999999999489362
1000,109,78,1,81,0,0.9873417721506489,0.9999999999987179,0.9936305731971438
1000,107,78,3,79,0,0.9629629629617741,0.9999999999987179,0.9811320754204819
1000,106,70,1,89,0,0.9859154929563578,0.9999999999985714,0.9929078013670338
1000,105,80,2,78,0,0.9756097560963712,0.99999999999875,0.9876543209364427
1000,104,84,0,76,0,0.9999999999988095,0.9999999999988095,0.9999999999488096
1000,103,80,0,80,0,0.99999999999875,0.99999999999875,0.9999999999487501
1000,101,74,0,86,0,0.9999999999986486,0.9999999999986486,0.9999999999486486
1000,100,76,0,84,0,0.9999999999986842,0.9999999999986842,0.9999999999486842
1000,99,75,0,85,0,0.9999999999986666,0.9999999999986666,0.9999999999486666
1000,98,90,0,70,0,0.9999999999988889,0.9999999999988889,0.9999999999488889
1000,97,72,0,88,0,0.9999999999986111,0.9999999999986111,0.9999999999486111
1000,95,74,0,86,0,0.9999999999986486,0.9999999999986486,0.9999999999486486
1000,94,80,0,80,0,0.99999999999875,0.99999999999875,0.9999999999487501
1000,93,79,1,80,0,0.9874999999987656,0.9999999999987341,0.9937106917726515
1000,92,85,0,75,0,0.9999999999988235,0.9999999999988235,0.9999999999488236
1000,91,72,0,88,0,0.9999999999986111,0.9999999999986111,0.9999999999486111
1000,89,74,0,86,0,0.9999999999986486,0.9999999999986486,0.9999999999486486
1000,88,82,0,78,0,0.9999999999987804,0.9999999999987804,0.9999999999487805
1000,87,84,1,75,0,0.9882352941164844,0.9999999999988095,0.9940828401855116
1000,86,86,1,73,0,0.9885057471253006,0.9999999999988372,0.9942196531280431
1000,85,83,2,75,0,0.9764705882341453,0.9999999999987952,0.9880952380440688
1000,83,77,0,83,0,0.9999999999987013,0.9999999999987013,0.9999999999487013
1000,82,86,1,73,0,0.9885057471253006,0.9999999999988372,0.9942196531280431
1000,81,75,0,85,0,0.9999999999986666,0.9999999999986666,0.9999999999486666
1000,80,77,1,82,0,0.9871794871782216,0.9999999999987013,0.9935483870454943
1000,79,85,1,73,1,0.9883720930221065,0.9883720930221065,0.9883720929721065
1000,77,85,2,71,2,0.9770114942517505,0.9770114942517505,0.9770114942017505
1000,76,87,1,71,1,0.9886363636352402,0.9886363636352402,0.9886363635852402
