clique size,fraction correct
80,0.99
79,0.99
78,0.99
77,1.0
76,1.0
75,1.0
74,1.0
73,0.99
72,0.99
71,0.99
70,1.0
69,1.0
68,1.0
67,0.99
66,0.97
65,1.0
64,1.0
63,1.0
62,1.0
61,1.0
60,1.0
59,0.99
58,0.99
57,1.0
56,0.99
55,1.0
54,1.0
53,0.99
52,1.0
51,1.0
50,1.0
49,1.0
48,1.0
47,0.99
46,1.0
45,0.99
44,0.99
43,1.0
42,1.0
41,1.0
40,1.0
39,1.0
38,0.98
37,0.99
36,0.99
35,0.99
34,0.99
33,0.99
32,1.0
31,1.0
30,1.0
29,1.0
28,0.99
27,0.96
26,0.94
25,0.87
24,0.81
23,0.72
22,0.69
21,0.62
20,0.62
19,0.53
18,0.56
17,0.54
16,0.55
15,0.41
14,0.51
13,0.5
12,0.51
11,0.5
10,0.54
9,0.51
8,0.55
7,0.54
6,0.55
5,0.54
4,0.45
3,0.55
2,0.54
1,0.47
