clique size,fraction correct
700,1.0
692,1.0
685,1.0
678,1.0
671,1.0
664,1.0
657,1.0
650,1.0
643,1.0
636,1.0
629,1.0
622,1.0
615,1.0
608,1.0
601,1.0
594,1.0
587,1.0
579,1.0
572,1.0
565,1.0
558,1.0
551,1.0
544,1.0
537,1.0
530,1.0
523,1.0
516,1.0
509,1.0
502,1.0
495,1.0
488,1.0
481,1.0
474,1.0
467,1.0
459,1.0
452,1.0
445,1.0
438,1.0
431,1.0
424,1.0
417,1.0
410,1.0
403,1.0
396,1.0
389,1.0
382,1.0
375,1.0
368,1.0
361,1.0
354,1.0
346,1.0
339,1.0
332,1.0
325,1.0
318,1.0
311,1.0
304,1.0
297,1.0
290,1.0
283,1.0
276,1.0
269,1.0
262,1.0
255,1.0
248,1.0
241,1.0
234,1.0
226,1.0
219,1.0
212,1.0
205,1.0
198,1.0
191,1.0
184,1.0
177,1.0
170,1.0
163,1.0
156,1.0
149,1.0
142,1.0
135,1.0
128,1.0
121,1.0
113,1.0
106,1.0
99,1.0
92,1.0
85,1.0
78,1.0
71,1.0
64,1.0
57,0.99
50,0.9
43,0.82
36,0.66
29,0.55
22,0.55
15,0.48
8,0.51
1,0.49
