clique size,fraction correct
70,0.99
69,0.97
68,0.99
67,1.0
66,1.0
65,0.99
64,0.99
63,1.0
62,0.98
61,1.0
60,0.99
59,0.99
58,0.98
57,0.99
56,0.99
55,0.99
54,0.97
53,0.99
52,1.0
51,0.97
50,1.0
49,0.98
48,0.99
47,1.0
46,0.99
45,1.0
44,0.99
43,1.0
42,1.0
41,1.0
40,0.99
39,0.99
38,1.0
37,0.99
36,1.0
35,1.0
34,1.0
33,0.98
32,0.99
31,0.98
30,0.98
29,0.98
28,1.0
27,1.0
26,0.99
25,1.0
24,0.99
23,0.98
22,0.98
21,0.99
20,0.96
19,0.92
18,0.85
17,0.82
16,0.72
15,0.66
14,0.59
13,0.61
12,0.6
11,0.47
10,0.45
9,0.54
8,0.52
7,0.56
6,0.46
5,0.56
4,0.49
3,0.44
2,0.54
1,0.59
