N_value,clique_size,TP,FP,TN,FN,precision,recall,F1
150,105,85,0,75,0,0.9999999999988235,0.9999999999988235,0.9999999999488236
150,103,77,4,79,0,0.9506172839494437,0.9999999999987013,0.9746835442525958
150,102,85,2,73,0,0.9770114942517505,0.9999999999988235,0.9883720929721134
150,101,82,1,77,0,0.9879518072277254,0.9999999999987804,0.9939393938881909
150,100,73,1,86,0,0.9864864864851534,0.9999999999986301,0.9931972788602156
150,99,91,0,69,0,0.9999999999989011,0.9999999999989011,0.9999999999489011
150,98,79,1,80,0,0.9874999999987656,0.9999999999987341,0.9937106917726515
150,97,92,0,68,0,0.999999999998913,0.999999999998913,0.9999999999489131
150,96,84,1,75,0,0.9882352941164844,0.9999999999988095,0.9940828401855116
150,95,80,0,80,0,0.99999999999875,0.99999999999875,0.9999999999487501
150,94,80,0,80,0,0.99999999999875,0.99999999999875,0.9999999999487501
150,93,86,0,74,0,0.9999999999988372,0.9999999999988372,0.9999999999488371
150,92,75,0,85,0,0.9999999999986666,0.9999999999986666,0.9999999999486666
150,91,85,0,75,0,0.9999999999988235,0.9999999999988235,0.9999999999488236
150,90,79,3,78,0,0.9634146341451666,0.9999999999987341,0.9813664595761274
150,89,86,2,72,0,0.9772727272716167,0.9999999999988372,0.9885057470753071
150,88,82,2,76,0,0.9761904761893141,0.9999999999987804,0.9879518071777326
150,87,66,1,93,0,0.9850746268642013,0.9999999999984848,0.992481202956029
150,86,82,1,77,0,0.9879518072277254,0.9999999999987804,0.9939393938881909
150,85,77,2,81,0,0.9746835443025637,0.9999999999987013,0.9871794871282297
150,83,75,2,83,0,0.974025974024709,0.9999999999986666,0.986842105211868
150,82,84,2,74,0,0.9767441860453758,0.9999999999988095,0.9882352940664912
150,81,82,0,78,0,0.9999999999987804,0.9999999999987804,0.9999999999487805
150,80,83,0,77,0,0.9999999999987952,0.9999999999987952,0.9999999999487952
150,79,71,1,88,0,0.9861111111097415,0.9999999999985916,0.9930069929556067
150,78,79,1,80,0,0.9874999999987656,0.9999999999987341,0.9937106917726515
150,77,76,1,83,0,0.9870129870117051,0.9999999999986842,0.9934640522362851
150,76,78,1,81,0,0.9873417721506489,0.9999999999987179,0.9936305731971438
150,75,70,2,88,0,0.9722222222208718,0.9999999999985714,0.9859154929063677
150,74,77,1,82,0,0.9871794871782216,0.9999999999987013,0.9935483870454943
150,73,77,0,83,0,0.9999999999987013,0.9999999999987013,0.9999999999487013
150,72,87,1,72,0,0.9886363636352402,0.9999999999988506,0.9942857142345796
150,71,79,1,80,0,0.9874999999987656,0.9999999999987341,0.9937106917726515
150,70,74,0,86,0,0.9999999999986486,0.9999999999986486,0.9999999999486486
150,69,76,2,82,0,0.9743589743577251,0.9999999999986842,0.9870129869617135
150,68,78,4,78,0,0.951219512193962,0.9999999999987179,0.9749999999488125
150,67,72,1,87,0,0.9863013698616626,0.9999999999986111,0.9931034482244947
150,66,71,3,86,0,0.9594594594581629,0.9999999999985916,0.9793103447762568
150,65,73,0,87,0,0.9999999999986301,0.9999999999986301,0.9999999999486302
150,64,82,0,78,0,0.9999999999987804,0.9999999999987804,0.9999999999487805
150,62,82,1,77,0,0.9879518072277254,0.9999999999987804,0.9939393938881909
150,61,79,0,81,0,0.9999999999987341,0.9999999999987341,0.9999999999487341
150,60,73,0,87,0,0.9999999999986301,0.9999999999986301,0.9999999999486302
150,59,89,1,70,0,0.9888888888877901,0.9999999999988763,0.9944134077701194
150,58,71,0,89,0,0.9999999999985916,0.9999999999985916,0.9999999999485916
150,57,82,2,76,0,0.9761904761893141,0.9999999999987804,0.9879518071777326
150,56,86,0,74,0,0.9999999999988372,0.9999999999988372,0.9999999999488371
150,55,85,0,75,0,0.9999999999988235,0.9999999999988235,0.9999999999488236
150,54,86,1,73,0,0.9885057471253006,0.9999999999988372,0.9942196531280431
150,53,75,0,85,0,0.9999999999986666,0.9999999999986666,0.9999999999486666
150,52,73,0,87,0,0.9999999999986301,0.9999999999986301,0.9999999999486302
150,51,82,2,76,0,0.9761904761893141,0.9999999999987804,0.9879518071777326
150,50,86,0,74,0,0.9999999999988372,0.9999999999988372,0.9999999999488371
150,49,69,2,89,0,0.9718309859141242,0.9999999999985507,0.9857142856628879
150,48,87,1,72,0,0.9886363636352402,0.9999999999988506,0.9942857142345796
150,47,81,1,78,0,0.9878048780475758,0.9999999999987654,0.9938650306236291
150,46,65,0,95,0,0.9999999999984616,0.9999999999984616,0.9999999999484617
150,45,82,2,76,0,0.9761904761893141,0.9999999999987804,0.9879518071777326
150,44,78,2,80,0,0.9749999999987812,0.9999999999987179,0.987341772100657
150,43,76,0,84,0,0.9999999999986842,0.9999999999986842,0.9999999999486842
150,41,76,0,84,0,0.9999999999986842,0.9999999999986842,0.9999999999486842
150,40,85,0,75,0,0.9999999999988235,0.9999999999988235,0.9999999999488236
150,39,74,0,86,0,0.9999999999986486,0.9999999999986486,0.9999999999486486
150,38,86,4,70,0,0.9555555555544938,0.9999999999988372,0.9772727272216426
150,37,81,1,78,0,0.9878048780475758,0.9999999999987654,0.9938650306236291
150,36,86,2,72,0,0.9772727272716167,0.9999999999988372,0.9885057470753071
150,35,85,0,75,0,0.9999999999988235,0.9999999999988235,0.9999999999488236
150,34,84,2,74,0,0.9767441860453758,0.9999999999988095,0.9882352940664912
150,33,81,0,79,0,0.9999999999987654,0.9999999999987654,0.9999999999487654
150,32,92,0,68,0,0.999999999998913,0.999999999998913,0.9999999999489131
150,31,70,1,89,0,0.9859154929563578,0.9999999999985714,0.9929078013670338
