clique size,fraction correct
280,1.0
277,1.0
274,1.0
271,1.0
268,1.0
265,1.0
263,0.99
260,0.99
257,1.0
254,0.99
251,0.99
249,0.99
246,0.99
243,0.99
240,1.0
237,0.99
234,0.99
232,0.99
229,1.0
226,0.99
223,1.0
220,0.98
218,0.99
215,1.0
212,0.99
209,1.0
206,1.0
203,1.0
201,1.0
198,0.99
195,1.0
192,1.0
189,1.0
187,0.99
184,1.0
181,1.0
178,0.99
175,0.99
172,1.0
170,0.99
167,1.0
164,1.0
161,0.98
158,0.99
156,0.99
153,1.0
150,1.0
147,1.0
144,1.0
141,0.99
139,0.99
136,0.99
133,0.99
130,1.0
127,0.99
125,1.0
122,0.99
119,0.98
116,1.0
113,1.0
110,0.99
108,0.99
105,0.99
102,1.0
99,1.0
96,0.99
94,0.99
91,0.99
88,1.0
85,0.99
82,1.0
79,1.0
77,1.0
74,1.0
71,1.0
68,0.99
65,1.0
63,0.99
60,1.0
57,0.99
54,1.0
51,0.99
48,0.99
46,1.0
43,1.0
40,1.0
37,0.97
34,0.93
32,0.76
29,0.62
26,0.57
23,0.54
20,0.55
17,0.53
15,0.53
12,0.4
9,0.55
6,0.54
3,0.54
1,0.53
