clique size,fraction correct
210,0.99
207,0.99
205,1.0
203,0.99
201,0.99
199,0.99
197,1.0
195,1.0
193,0.99
191,0.99
188,1.0
186,0.99
184,1.0
182,1.0
180,1.0
178,1.0
176,0.99
174,1.0
172,0.99
169,0.99
167,0.99
165,0.99
163,0.99
161,0.99
159,1.0
157,1.0
155,0.99
153,0.99
150,1.0
148,0.99
146,1.0
144,0.99
142,0.99
140,0.99
138,0.99
136,0.99
134,1.0
131,1.0
129,0.98
127,0.99
125,0.99
123,1.0
121,1.0
119,0.99
117,1.0
115,0.99
112,0.99
110,1.0
108,1.0
106,0.99
104,1.0
102,1.0
100,0.98
98,0.99
96,1.0
93,1.0
91,0.99
89,0.99
87,1.0
85,1.0
83,0.99
81,1.0
79,0.98
77,0.99
74,0.99
72,0.97
70,0.97
68,0.93
66,0.91
64,0.91
62,0.92
60,0.84
58,0.74
55,0.69
53,0.7
51,0.65
49,0.68
47,0.5
45,0.53
43,0.51
41,0.56
39,0.47
36,0.51
34,0.53
32,0.5
30,0.47
28,0.5
26,0.53
24,0.54
22,0.5
20,0.46
17,0.5
15,0.54
13,0.45
11,0.47
9,0.56
7,0.51
5,0.5
3,0.45
1,0.49
