N_value,clique_size,TP,FP,TN,FN,precision,recall,F1
300,210,80,1,79,0,0.987654320986435,0.99999999999875,0.9937888198245438
300,207,80,2,78,0,0.9756097560963712,0.99999999999875,0.9876543209364427
300,205,72,0,88,0,0.9999999999986111,0.9999999999986111,0.9999999999486111
300,203,91,1,68,0,0.9891304347815335,0.9999999999989011,0.9945355190745977
300,201,72,2,86,0,0.9729729729716581,0.9999999999986111,0.9863013698116719
300,199,71,2,87,0,0.972602739724695,0.9999999999985916,0.9861111110597512
300,197,69,0,91,0,0.9999999999985507,0.9999999999985507,0.9999999999485507
300,195,79,0,81,0,0.9999999999987341,0.9999999999987341,0.9999999999487341
300,193,84,1,75,0,0.9882352941164844,0.9999999999988095,0.9940828401855116
300,191,77,2,81,0,0.9746835443025637,0.9999999999987013,0.9871794871282297
300,188,69,0,91,0,0.9999999999985507,0.9999999999985507,0.9999999999485507
300,186,73,1,86,0,0.9864864864851534,0.9999999999986301,0.9931972788602156
300,184,81,0,79,0,0.9999999999987654,0.9999999999987654,0.9999999999487654
300,182,80,0,80,0,0.99999999999875,0.99999999999875,0.9999999999487501
300,180,77,0,83,0,0.9999999999987013,0.9999999999987013,0.9999999999487013
300,178,91,0,69,0,0.9999999999989011,0.9999999999989011,0.9999999999489011
300,176,80,1,79,0,0.987654320986435,0.99999999999875,0.9937888198245438
300,174,78,0,82,0,0.9999999999987179,0.9999999999987179,0.9999999999487179
300,172,79,1,80,0,0.9874999999987656,0.9999999999987341,0.9937106917726515
300,169,83,1,76,0,0.9880952380940617,0.9999999999987952,0.9940119759967155
300,167,85,1,74,0,0.9883720930221065,0.9999999999988235,0.9941520467324646
300,165,72,1,87,0,0.9863013698616626,0.9999999999986111,0.9931034482244947
300,163,67,1,92,0,0.9852941176456098,0.9999999999985074,0.9925925925411249
300,161,72,1,87,0,0.9863013698616626,0.9999999999986111,0.9931034482244947
300,159,83,0,77,0,0.9999999999987952,0.9999999999987952,0.9999999999487952
300,157,78,0,82,0,0.9999999999987179,0.9999999999987179,0.9999999999487179
300,155,91,1,68,0,0.9891304347815335,0.9999999999989011,0.9945355190745977
300,153,81,1,78,0,0.9878048780475758,0.9999999999987654,0.9938650306236291
300,150,78,0,82,0,0.9999999999987179,0.9999999999987179,0.9999999999487179
300,148,79,1,80,0,0.9874999999987656,0.9999999999987341,0.9937106917726515
300,146,76,0,84,0,0.9999999999986842,0.9999999999986842,0.9999999999486842
300,144,72,2,86,0,0.9729729729716581,0.9999999999986111,0.9863013698116719
300,142,83,2,75,0,0.9764705882341453,0.9999999999987952,0.9880952380440688
300,140,85,1,74,0,0.9883720930221065,0.9999999999988235,0.9941520467324646
300,138,75,1,84,0,0.9868421052618594,0.9999999999986666,0.9933774833923951
300,136,85,1,74,0,0.9883720930221065,0.9999999999988235,0.9941520467324646
300,134,79,0,81,0,0.9999999999987341,0.9999999999987341,0.9999999999487341
300,131,59,0,101,0,0.999999999998305,0.999999999998305,0.9999999999483051
300,129,77,3,80,0,0.9624999999987969,0.9999999999987013,0.9808917196939917
300,127,78,2,80,0,0.9749999999987812,0.9999999999987179,0.987341772100657
300,125,74,2,84,0,0.9736842105250346,0.9999999999986486,0.9866666666153598
300,123,81,0,79,0,0.9999999999987654,0.9999999999987654,0.9999999999487654
300,121,94,0,66,0,0.9999999999989362,0.9999999999989362,0.9999999999489362
300,119,79,2,79,0,0.9753086419741045,0.9999999999987341,0.9874999999487735
300,117,86,0,74,0,0.9999999999988372,0.9999999999988372,0.9999999999488371
300,115,82,2,76,0,0.9761904761893141,0.9999999999987804,0.9879518071777326
300,112,78,1,81,0,0.9873417721506489,0.9999999999987179,0.9936305731971438
300,110,86,0,74,0,0.9999999999988372,0.9999999999988372,0.9999999999488371
300,108,88,0,72,0,0.9999999999988636,0.9999999999988636,0.9999999999488636
300,106,82,1,77,0,0.9879518072277254,0.9999999999987804,0.9939393938881909
300,104,79,0,81,0,0.9999999999987341,0.9999999999987341,0.9999999999487341
300,102,83,0,77,0,0.9999999999987952,0.9999999999987952,0.9999999999487952
300,100,81,3,76,0,0.9642857142845663,0.9999999999987654,0.9818181817670082
300,98,75,2,83,0,0.974025974024709,0.9999999999986666,0.986842105211868
300,96,93,0,67,0,0.9999999999989247,0.9999999999989247,0.9999999999489249
300,93,78,0,82,0,0.9999999999987179,0.9999999999987179,0.9999999999487179
300,91,97,1,62,0,0.989795918366337,0.999999999998969,0.9948717948207758
300,89,77,1,82,0,0.9871794871782216,0.9999999999987013,0.9935483870454943
300,87,80,0,80,0,0.99999999999875,0.99999999999875,0.9999999999487501
300,85,76,0,84,0,0.9999999999986842,0.9999999999986842,0.9999999999486842
300,83,86,1,73,0,0.9885057471253006,0.9999999999988372,0.9942196531280431
300,81,78,0,82,0,0.9999999999987179,0.9999999999987179,0.9999999999487179
300,79,60,3,97,0,0.9523809523794406,0.9999999999983333,0.9756097560460044
300,77,70,1,89,0,0.9859154929563578,0.9999999999985714,0.9929078013670338
300,74,76,0,83,1,0.9999999999986842,0.9870129870117051,0.9934640522362851
300,72,74,2,82,2,0.9736842105250346,0.9736842105250346,0.9736842104750346
300,70,74,1,81,4,0.9866666666653511,0.9487179487167324,0.9673202613866633
300,68,61,1,87,11,0.9838709677403485,0.8472222222210455,0.9104477611429495
300,66,71,1,74,14,0.9861111111097415,0.8352941176460761,0.9044585986753052
300,64,63,1,83,13,0.9843749999984619,0.8289473684199619,0.8999999999490816
300,62,61,1,86,12,0.9838709677403485,0.8356164383550196,0.9037037036526969
300,60,58,0,76,26,0.9999999999982758,0.6904761904753685,0.8169014084012299
300,58,35,2,84,39,0.9459459459433893,0.4729729729723338,0.6306306305850499
300,55,39,1,71,49,0.9749999999975625,0.4431818181813146,0.6093749999560791
300,53,33,0,79,48,0.9999999999969696,0.40740740740690445,0.5789473683789013
300,51,23,0,81,56,0.9999999999956523,0.2911392405059606,0.4509803921210495
300,49,24,1,85,50,0.95999999999616,0.324324324323886,0.484848484809754
300,47,15,1,65,79,0.9374999999941407,0.1595744680849366,0.2727272727019173
300,45,12,0,73,75,0.9999999999916667,0.13793103448260008,0.24242424240244873
300,43,7,1,75,77,0.8749999999890625,0.08333333333323413,0.15217391302726846
300,41,9,0,81,70,0.9999999999888889,0.11392405063276718,0.20454545452662706
300,39,6,1,70,83,0.8571428571306122,0.0674157303370029,0.12499999998621962
300,36,1,0,81,78,0.9999999999,0.012658227848085242,0.024999999997468745
300,34,1,1,83,75,0.499999999975,0.013157894736824792,0.02564102563596318
300,32,3,1,77,79,0.74999999998125,0.03658536585361392,0.0697674418514332
300,30,3,2,73,82,0.599999999988,0.0352941176470173,0.06666666665602469
300,28,2,2,78,78,0.4999999999875,0.02499999999996875,0.04761904760986395
300,26,0,0,84,76,0.0,0.0,0.0
300,24,2,1,85,72,0.6666666666444444,0.027027027026990502,0.051948051940428404
300,22,2,0,78,80,0.99999999995,0.024390243902409278,0.04761904761428571
300,20,0,1,74,85,0.0,0.0,0.0
300,17,2,1,78,79,0.6666666666444444,0.024691358024660874,0.04761904761204649
300,15,1,2,86,71,0.3333333333222222,0.013888888888869598,0.026666666658915553
300,13,0,1,72,87,0.0,0.0,0.0
300,11,0,0,76,84,0.0,0.0,0.0
300,9,1,0,88,71,0.9999999999,0.013888888888869598,0.027397260271195347
300,7,1,3,80,76,0.24999999999375,0.012987012986996121,0.02469135801524158
300,5,0,1,80,79,0.0,0.0,0.0
300,3,0,0,72,88,0.0,0.0,0.0
300,1,2,0,77,81,0.99999999995,0.024096385542139644,0.04705882352470588
