clique size,Moran's I values
336,"[0.4052299536466458, 0.40413109049026263, 0.3755233711903823, 0.37316382196449743, 0.4173200957303554, 0.3613667405636072, 0.3853909900479404, 0.4097567405133883, 0.41454496100858157, 0.4232075349502215, 0.4424326563110528, 0.38049802163059454, 0.3575792499397814, 0.37035831116817436, 0.3837149982402344, 0.40330015021100013, 0.3704406538949265, 0.38953877234217077, 0.3982710100940047, 0.37279604591063903, 0.35293442379552575, 0.3926759118795589, 0.40670717838332604, 0.4198678944072302, 0.39025360487716554, 0.4010548594765984, 0.38580020742904203, 0.40381306174163123, 0.38125547317612807, 0.35406203311790796, 0.3976557081485232, 0.3718645833199872, 0.39119323207433554, 0.3872338553518793, 0.4042056704087316, 0.37332667645512724, 0.3932220644824376, 0.3996295484495135, 0.3841871009391005, 0.40165139255476506, 0.3903148714211972, 0.3734555830660579, 0.37853311916968974, 0.3501010388808313, 0.3833784825505481, 0.3587144400512207, 0.4092855387776449, 0.3560020038130061, 0.35799275827510774, 0.38319772050671547, 0.38287447228411364, 0.4229263369615255, 0.38737338199510263, 0.3875996748597975, 0.397602007246904, 0.3804947653534731, 0.3687844822771637, 0.3943910822540856, 0.3872019124944215, 0.38899739927027943, 0.4237516749420495, 0.3844430894193033, 0.3959330913483497, 0.420678570467555, 0.3639624841541392, 0.3892312097721515, 0.395136560604597, 0.4019951977830424, 0.4129413737775143, 0.3479910442861647, 0.4171622960737741, 0.3832516963647617, 0.38648866134985205, 0.3932261834445143, 0.39018860399103966, 0.37448305393955544, 0.4037285705069322, 0.39983411306335204, 0.4038340764507618, 0.40185476053029767, 0.3882278837471788, 0.39669018328041106, 0.39862261668777854, 0.401314338958086, 0.39052121841712156, 0.3912276521259496, 0.4156882241497462, 0.3863585053603802, 0.3986931821276248, 0.40677711590665055, 0.43639781874878003, 0.3643972304681597, 0.3839425903706986, 0.4064174109400083, 0.4059116286262899, 0.3828328870858386, 0.40872778656670145, 0.38922562177055625, 0.37181788755897627, 0.36209607361675744]"
332,"[0.37832293573048625, 0.3761804601375547, 0.37300533346846515, 0.3677854845563122, 0.38541949132009806, 0.3508412279943141, 0.3488134971366668, 0.36931704853940556, 0.38612297570753806, 0.36713980422534864, 0.3751299394857619, 0.38676415727868196, 0.38118071908008905, 0.4032870361533869, 0.3937688705044051, 0.4073981952401563, 0.38371997724389867, 0.3842524560955839, 0.37013335477039006, 0.3701109007874538, 0.3661011985311862, 0.3378228173923203, 0.36527779520660075, 0.3322436746966415, 0.3853937884971297, 0.4120786524554454, 0.3551859297401675, 0.3669668965638108, 0.36637559666132075, 0.3946560065466044, 0.3478636865239785, 0.3652382020027926, 0.3652756236784898, 0.3774942317712179, 0.3601603244143256, 0.3723892919576527, 0.39003840737399215, 0.3924339507058214, 0.37690971778444116, 0.37462628190764813, 0.3760041981110624, 0.4067531086016192, 0.41390616497192806, 0.371058171127713, 0.36407943673489185, 0.39192398345887236, 0.35601320031855344, 0.3846006385418043, 0.3267111636302043, 0.3663209776235715, 0.35253363256532966, 0.3399895409067647, 0.3660981403069621, 0.3682306290033544, 0.390431239465809, 0.36537596190960825, 0.3674144133860238, 0.37410753001027514, 0.35886293664786095, 0.37006550465141963, 0.3663271017612302, 0.3700269284587085, 0.35920277280080937, 0.3645592562000911, 0.3867955666239865, 0.35143105513040696, 0.35402814478117584, 0.3513793845261743, 0.3625483335226645, 0.37213860335386206, 0.36846054560542957, 0.35593788916759006, 0.38682604873760806, 0.35513150493378426, 0.3702479569033143, 0.370707980514246, 0.35642229657126934, 0.37390303788802753, 0.40683175905556046, 0.3613567037000471, 0.38554370143745814, 0.35337164521878556, 0.3512122036383827, 0.3773398831521882, 0.3528060761151283, 0.3389396248971104, 0.35122697486765464, 0.34904755699451706, 0.3857039579835223, 0.39549292185317325, 0.35426774839507, 0.3430941757956317, 0.3794942952801449, 0.3740041228364892, 0.37585378320381846, 0.3782612586235253, 0.3693243464812475, 0.35751445223226047, 0.35626578258414665, 0.3635008237712611]"
329,"[0.3428237744402322, 0.33592596687525744, 0.36293198575605107, 0.33720913671624025, 0.3731444243204383, 0.3328227934264484, 0.34385225534066843, 0.32963213381388345, 0.37371216198507806, 0.35813558956703717, 0.34939856674283576, 0.34868286346564664, 0.3585517534219278, 0.37456068977320434, 0.3702629427061771, 0.35078164123209266, 0.34058124002788165, 0.37771912287361564, 0.3504182443249544, 0.36157546883402225, 0.3638924807021431, 0.36572051735623107, 0.3677467962595117, 0.334583398767848, 0.3897245472889321, 0.35753899222968877, 0.35907255965135054, 0.3686126523325763, 0.3664101182383679, 0.3679360496633839, 0.36417946826009595, 0.35158091902837857, 0.37295201285081864, 0.3957582915750716, 0.35731620801780895, 0.3442081930438358, 0.36716454654960845, 0.36077037422628305, 0.3469305372759446, 0.3461519266667824, 0.3374116471682099, 0.3661580657635602, 0.3517754115592458, 0.36337709545342295, 0.33873251354188816, 0.3653428587820145, 0.34874591466279437, 0.3502692207273555, 0.36192091591571673, 0.36188481499223824, 0.33605763524467497, 0.33979602402447545, 0.3583888377695344, 0.3650256116345777, 0.3575966296954681, 0.3384106113616863, 0.34680642516946814, 0.3873295356650233, 0.3527186163110682, 0.35006533481803453, 0.3642043281634112, 0.3307010255577806, 0.3509869680794991, 0.3126884386209674, 0.34078891257057325, 0.3474734474992069, 0.3613752996385159, 0.3816882032238956, 0.3927509670905886, 0.3566078519697521, 0.40246997762063524, 0.3494435676626683, 0.36420318097573373, 0.37896641260507563, 0.3472127661043651, 0.3531064666114176, 0.3202860108670206, 0.39023629504673557, 0.36621396218211083, 0.3336996709723465, 0.3852397891883865, 0.3241838914582371, 0.33600956566095397, 0.3554331387425971, 0.3853026390607716, 0.3841603136165906, 0.3760603874239773, 0.3685645988623564, 0.35761030011828726, 0.37942439919690424, 0.35624212828886925, 0.3425580127875231, 0.33260605596850934, 0.3248853820624507, 0.352117484920985, 0.36461968078003637, 0.3606286010689323, 0.3232679934900811, 0.3534082242322353, 0.35710965005604217]"
325,"[0.33156125493208427, 0.27712769900108886, 0.35374907741466405, 0.33584738350218307, 0.3282055376567783, 0.33561584894918123, 0.34443421364151633, 0.3255100605751701, 0.328454162575583, 0.3385737447117897, 0.3468835782612872, 0.34738572210105784, 0.3464929391309445, 0.3553837025646521, 0.3222111057341946, 0.3313010858717708, 0.35761286596032876, 0.3531851538521639, 0.36943595183929717, 0.3307407056560229, 0.32991091081937757, 0.33098076559242395, 0.3469229066101474, 0.3377290877642493, 0.33422499903959413, 0.34472640778197017, 0.33212386953921064, 0.3160298636900822, 0.33601178970308315, 0.3186813821832402, 0.3408556250405006, 0.353165992571778, 0.30738650268813816, 0.3311241755023765, 0.3161778266924734, 0.351335714423983, 0.35046287464117243, 0.33335177829238155, 0.3225782983308344, 0.35257605065476766, 0.3228701641376308, 0.34904079974349367, 0.3410559791128296, 0.3225648379173081, 0.369041083727391, 0.34273048732608413, 0.3338431568922789, 0.345985538695453, 0.3432690451153891, 0.32760746188886575, 0.30644031320694975, 0.34444412173949135, 0.32057282676617843, 0.3256422460268496, 0.330797788607513, 0.3583195823029082, 0.3334249850011538, 0.3198370567116121, 0.34972787683282264, 0.3580755428571814, 0.33663556490119806, 0.3187220285245434, 0.3262256685571283, 0.33598738401055167, 0.3520600970738286, 0.34311502470973215, 0.3421958441943728, 0.34281154706672223, 0.31953601280259547, 0.32761681933890513, 0.33211092209221743, 0.3406180782866062, 0.3729370436269783, 0.3354967591240533, 0.31500935666108026, 0.3576122242787373, 0.35432589239923756, 0.3466630156603885, 0.329065061789048, 0.313191467229355, 0.30832776153176294, 0.33220447086802085, 0.30953491369255554, 0.3449912222572647, 0.3243899378231509, 0.3487085450356208, 0.3438978246814426, 0.3306300811638296, 0.36369885196052765, 0.3338553424471898, 0.3500563725230259, 0.34288384472794625, 0.32915803744114747, 0.36200529725469965, 0.33934859604131323, 0.34070502755912946, 0.3280397533749841, 0.3596399216982629, 0.32810014785975833, 0.35695460071919405]"
322,"[0.3081262776968112, 0.3132896962859776, 0.3325533905018163, 0.3153377083330333, 0.3202023658088778, 0.33404946713154593, 0.34981510188550624, 0.3180577870470526, 0.3328843024659158, 0.3137278565823104, 0.3031434826279045, 0.32265415113321144, 0.35313993358384915, 0.3198673742722296, 0.3446385341494534, 0.3159055656252517, 0.3451564440372791, 0.33819414368789624, 0.3051897744670643, 0.3439868996116645, 0.30029450939382013, 0.29643802468855357, 0.3149810857015989, 0.3247812922610507, 0.3073320519864368, 0.3470872352125171, 0.30844166051338046, 0.3227532928834937, 0.31327748176148884, 0.31200906171359555, 0.3490436257459415, 0.33807615574525673, 0.3557949131341332, 0.3165398275438305, 0.3134103220807872, 0.33851931030347326, 0.32242100931060136, 0.3141234370289634, 0.33810507787293065, 0.2997152378356924, 0.31003568160536044, 0.3181066423942737, 0.3263310856365819, 0.33059293185676003, 0.3252782366412458, 0.30217755053153705, 0.356231837572374, 0.2718103939219633, 0.29959778191559416, 0.339889209026196, 0.322172508283077, 0.3439722657628111, 0.30080057318821557, 0.32165437656998624, 0.35040654482168293, 0.31221763914219086, 0.3473101525540543, 0.33527008131954156, 0.3112530304397062, 0.3202170781659556, 0.3082506951120926, 0.32467191120840333, 0.34029091954869156, 0.31964063715708113, 0.30887421718794855, 0.3145692199536734, 0.2973656846731235, 0.3174121072702577, 0.32841154829114916, 0.32731136202819683, 0.3410301242314863, 0.3151685482959155, 0.3278226908611961, 0.3280213243642204, 0.3425794457348555, 0.33388071559696814, 0.2968179538423871, 0.33612043713300677, 0.33906418479068057, 0.29745473321053745, 0.3341168767507354, 0.33288799100353517, 0.33324237729427647, 0.3357207210795602, 0.3180090048333339, 0.3466910094813994, 0.2934583952009503, 0.31127611876365846, 0.314550070758705, 0.33608183615711895, 0.3418384350635974, 0.3442987152639694, 0.3194916583800894, 0.3332355012594338, 0.34226815533363, 0.33981683193383483, 0.2947095941837693, 0.3297607098431351, 0.31712645275984, 0.31941724971742186]"
319,"[0.32136944399799333, 0.3393845503955443, 0.3014740756887959, 0.30913317009846025, 0.2776853075780598, 0.32693666934538046, 0.33355237943887367, 0.32475148894562517, 0.29589125611642914, 0.3201757206509147, 0.34356537495275885, 0.3274238244065771, 0.31658258142571377, 0.305638777808864, 0.30796511201288485, 0.30598623586742374, 0.30523818754840754, 0.29349929381546863, 0.29082418861946707, 0.3173879003594385, 0.30899274275903366, 0.3237095804864418, 0.32553656424292327, 0.3162709747015897, 0.3370231704813423, 0.28280799478150376, 0.3138835946544616, 0.32133609474907965, 0.290524854555391, 0.31462057430265583, 0.3389548458428779, 0.29672532971086857, 0.31163760108070077, 0.31070459984378046, 0.304858054674797, 0.3194316395818429, 0.32011882258796587, 0.3423872099875907, 0.33562498942758134, 0.32681098759417254, 0.3204518591437976, 0.3485935749028575, 0.31338289600508845, 0.32921063425228614, 0.3260177709099177, 0.3171650026921469, 0.2999095408562875, 0.29917042765408897, 0.29705381653283397, 0.2969560942592707, 0.3096349310499227, 0.3516347199520815, 0.30988902620235387, 0.33905171780380783, 0.2744877448721385, 0.31690908199356804, 0.32343983895540773, 0.30052689995130083, 0.2750355891397549, 0.3215868285785082, 0.30551709557045365, 0.30658485234262295, 0.2906651419795205, 0.3322300976270515, 0.32689668094306834, 0.3167283335948152, 0.3219511803829284, 0.2922720524094444, 0.32229589025177674, 0.3104013661862319, 0.3255253250099028, 0.32907317320386575, 0.2847291074496464, 0.31124537148933007, 0.3009502883003679, 0.3070207711560702, 0.3037983382566952, 0.30599074881497507, 0.33703818469195507, 0.2996179886821784, 0.3159412833319851, 0.2945658145037656, 0.28125188709025584, 0.34105057834484004, 0.29729345199374796, 0.3012431280316348, 0.31351264426799114, 0.31726516826396267, 0.2982635204626751, 0.3274283063708037, 0.3245128819373766, 0.31497512614405127, 0.33273706603714487, 0.2856646921762244, 0.32307727924131874, 0.3077540021138269, 0.30323384846791046, 0.32805241138276553, 0.2812478140566512, 0.31325306234347394]"
315,"[0.2873297801417703, 0.29058371723471443, 0.30128454463235255, 0.2918954156940385, 0.30367764306278877, 0.2992940780555582, 0.3017389037832329, 0.31235634679877156, 0.2969000348310693, 0.27520283896468595, 0.30995976754340065, 0.28661294341348653, 0.30578855121274445, 0.2872031352325278, 0.30359031580092194, 0.3032983675367858, 0.297022224158833, 0.32489860992614644, 0.3298440911501413, 0.30811306414047035, 0.30833319535013676, 0.3093080372260322, 0.2807219288934234, 0.2848352434174848, 0.2946206012697072, 0.29370110073619365, 0.2956638579044512, 0.302404004802566, 0.3122870975637335, 0.30629522209621846, 0.30493125677089433, 0.2967697544175083, 0.2751419532111914, 0.28737876130913026, 0.3195483607388996, 0.29874783313821046, 0.3013550798433741, 0.3191797944006357, 0.31999903682446385, 0.3082075189108908, 0.3003138595702924, 0.30599993014672927, 0.2940886446456292, 0.2985266921578272, 0.2913925639883643, 0.2830565236354916, 0.30135799022405463, 0.2986681960410578, 0.3077367568342511, 0.3038617896625081, 0.2923322108232771, 0.3232089567487052, 0.29821535947454836, 0.2965858899721239, 0.2931827286850322, 0.3060223755760565, 0.2891166425157641, 0.298649191002973, 0.2970209624502388, 0.28461402705398875, 0.276603941205928, 0.30488388712692144, 0.2994653329430304, 0.32109289679429664, 0.2840597767170231, 0.3292814172974579, 0.2969791008810408, 0.3353407781810275, 0.28052460697704834, 0.29831475949791014, 0.27133267409140316, 0.27595579793483815, 0.29233743998194506, 0.2844479330349847, 0.2718110714578698, 0.30459265783428147, 0.27874512401883006, 0.2808033922256378, 0.30972338657121135, 0.29558336650692285, 0.31919425594193884, 0.28764446352296064, 0.2902235231795575, 0.27250956749398614, 0.30992530410621477, 0.3088456252438859, 0.2539011699707746, 0.3028660683231479, 0.32083075629683105, 0.2880454341169455, 0.2697944835188726, 0.32491718124861324, 0.30013460951930343, 0.2915278038875975, 0.2880341195998599, 0.3160058238649796, 0.31827492570586935, 0.28693929804632257, 0.3016192951284619, 0.32078846899071023]"
312,"[0.3001464198046098, 0.27504195228287504, 0.2600088117929506, 0.2949689283275669, 0.25560344102382904, 0.25975167253709025, 0.283884549378858, 0.2700932492660098, 0.25803609350501866, 0.26417916035112343, 0.2658962948213037, 0.30102697160668435, 0.2801284064253034, 0.2873447750571416, 0.2968164409086327, 0.28003399763219644, 0.3343187730644225, 0.2993593780676051, 0.2915648802851705, 0.2998605269597993, 0.294565212712301, 0.26841616992938405, 0.2853921204376827, 0.28177647030502107, 0.2964199877573258, 0.28174801681017847, 0.3060791668262495, 0.2804771229335352, 0.29935885864628686, 0.2864972377788417, 0.275261113000942, 0.2823629656364212, 0.26869218194249234, 0.27318929025153615, 0.3112344368686034, 0.2780952316905767, 0.28286772669344556, 0.2652987517553764, 0.2872470268061169, 0.2776117739963266, 0.2864946180502916, 0.2991831769477712, 0.2939895656727224, 0.29391628873643355, 0.2806994060507935, 0.3040440036787278, 0.28578471148338497, 0.28456954427611536, 0.31044931233190515, 0.28182947954725823, 0.2946267262849186, 0.2990844280939752, 0.2542713308560261, 0.3040851085549923, 0.2950613504815212, 0.2780227315269259, 0.2925397568570253, 0.28406390203433995, 0.30248241050154034, 0.3047815861394117, 0.28230788180375777, 0.2709996365524117, 0.2932205192840408, 0.2817729334507184, 0.29006015024632703, 0.28916904219661077, 0.27028875377933165, 0.2781399165430312, 0.27371201711824583, 0.2855090314950352, 0.2659243834310198, 0.2708755478035791, 0.30052523966856987, 0.28825732917624636, 0.3045179956959825, 0.29297294745475505, 0.27711743273365935, 0.28098262016308717, 0.28401037439594273, 0.2808672593547588, 0.29028721052121553, 0.2825590505468418, 0.29452711466575743, 0.28971646303960813, 0.2851572832036171, 0.2639945747963186, 0.2796794854525145, 0.2813492648363372, 0.2596583957880457, 0.2764622250772775, 0.28661876123223795, 0.2924888729984691, 0.30481457850594895, 0.2836156941601273, 0.2878251471522316, 0.2988102972779189, 0.28339201130456176, 0.2848707659336999, 0.3028703426124429, 0.3012338586129955]"
308,"[0.28611530733349627, 0.2827055909573921, 0.26385881658411287, 0.2758570306737987, 0.273495198344706, 0.26992708732189974, 0.27171848378765884, 0.24435494364713792, 0.26011363506805724, 0.2778926954838679, 0.25110526186785564, 0.2595254172663272, 0.2780975066035115, 0.265782651091673, 0.265053670408901, 0.2709074183163704, 0.2915534548345276, 0.28128243564245486, 0.2637368554008839, 0.27634933717815935, 0.2886803869542029, 0.2551210752041314, 0.28005247451473414, 0.2646664803053018, 0.2676552153356399, 0.2886569198899842, 0.26300425799692645, 0.25391094447820006, 0.26903285293505147, 0.2784636242551761, 0.2652180110884805, 0.24930390155041457, 0.24793185518663968, 0.2928688332175852, 0.2763114504087721, 0.2658700847840885, 0.2802591310567286, 0.2842646214192192, 0.2740300485081842, 0.2844538868611291, 0.2699127329935555, 0.2788743324088561, 0.2547904693775873, 0.2654890896036975, 0.27469998531161116, 0.2467825076217328, 0.2558718946787349, 0.27358511578380235, 0.2782369025344491, 0.2754415898274416, 0.25136033481882497, 0.26045857646983617, 0.27498547102414084, 0.2622677422048535, 0.2836722249060221, 0.2574286291769899, 0.2933152831402816, 0.2762753063691883, 0.26771149162016605, 0.25875839889490077, 0.25480039570747925, 0.2687687452708835, 0.28093848203809113, 0.26419838220960623, 0.2753962637721693, 0.25124296771818594, 0.27451234233553545, 0.2618527085614176, 0.27323217880910666, 0.2619457540852912, 0.2885874884361268, 0.2794130507409963, 0.284342313308502, 0.2557536090037247, 0.28502234788981223, 0.27629456134592334, 0.2842035443555333, 0.2783001537322776, 0.3010657037228601, 0.26713153281875407, 0.2795487901777456, 0.28539099654990113, 0.2732768605711772, 0.2863321981243716, 0.2865615830919049, 0.25890183780382303, 0.2673339848794844, 0.28702134035766225, 0.2636041155609165, 0.2780623144048081, 0.26199535017741177, 0.28818049077815633, 0.28185263743036765, 0.2774803319505995, 0.24367640900400067, 0.26218954289683555, 0.2995178322410012, 0.2577503076267255, 0.2978588094972917, 0.263149911518697]"
305,"[0.24658757356733335, 0.23134878247220655, 0.24316446442092196, 0.26588815167044294, 0.2785341597224829, 0.2633144149055485, 0.2628735172003701, 0.25398070881187307, 0.2594244352401461, 0.2630589658076102, 0.24954245849370957, 0.26154883246408, 0.2585193931817026, 0.27451139419425374, 0.2608977157836817, 0.26122817435814283, 0.2598135863220571, 0.24747455085973355, 0.2652071029147405, 0.2450757913865445, 0.2681039936472064, 0.27877163384111475, 0.29002988830260373, 0.27771307070223417, 0.25633762343735084, 0.25563856517375433, 0.26139373610936933, 0.2470557595456988, 0.2462699164081684, 0.25567351773735425, 0.2645628941490197, 0.2739382947493761, 0.2684868096845603, 0.2762491740708933, 0.24264270020295853, 0.2456635744240217, 0.24351357246161162, 0.25747170612696074, 0.27140972343782516, 0.261627541998906, 0.2658823985724759, 0.2420627147798326, 0.2420242535096658, 0.2687606949813333, 0.27213912058560014, 0.2588103912435064, 0.26323649046890435, 0.25726366613362706, 0.2535634534333677, 0.25767629376620166, 0.24067409562535924, 0.25098203675038894, 0.26922052765026167, 0.24894732764054614, 0.2800013967527613, 0.2560459635554161, 0.24166207710273485, 0.2797053848124277, 0.24153799696858752, 0.2646915883770189, 0.255430672751816, 0.25434357476855773, 0.27423989968887924, 0.25827300734864833, 0.24471149325221533, 0.24915091596074285, 0.25713132471069605, 0.270768215441722, 0.24196345360359905, 0.2683956957937429, 0.24420874065047388, 0.25953339020045535, 0.2681730348019853, 0.24983883010033237, 0.24332101102479206, 0.2718967333864253, 0.2594004292270304, 0.27339754883221146, 0.27782324796503244, 0.2587646641937863, 0.26706441248640844, 0.2514020585963449, 0.27786317071038, 0.2692428096373823, 0.25247508383959333, 0.2668179565823188, 0.24380571693281622, 0.2620359949025412, 0.25530395112479537, 0.2594804184477687, 0.25688503453195044, 0.27390237440887916, 0.2672022932628493, 0.2704807947616032, 0.2586433795104556, 0.257289048314506, 0.2676764101401078, 0.27320785517242635, 0.2607331711695699, 0.26138057944536913]"
