clique size,Moran's I values
336,"[0.0008335467176794286, 0.0005394900934801993, -0.0009145011322585707, 0.00018600498745538014, 0.0003813068497661983, -0.0026764538364991, 0.0020586985695421204, 0.0008585517971333347, 0.0022943577140803893, 0.0014967417895380684, 0.0015304330323907495, -0.0007522466688336715, 0.0007996989459042355, -0.0010013345558214472, 0.0023292835215665306, -0.0021352856624755156, -0.002111631688996054, -7.799382146360422e-05, -0.000350514658741064, 0.0010304159174395727, 3.6242410525087117e-06, -0.0004316136969615871, 0.0016325898802812737, -0.0005310225867349768, 0.0007621450442383574, -0.002622054125607329, 0.00030476729986977886, 6.078994869888778e-05, 0.003399433241310064, -0.0006498971396578041, -0.0004570008801226575, -0.0005312938968575836, -0.0005765701301497127, -0.0002841338311835018, 0.0010223832246730007, -0.002077734350384448, -0.00046779202292294384, 0.001950539875871548, -0.00023877869919203056, -0.0010059121620376232, -0.0010540980405835203, 0.0014781404424795703, 0.001461735503522046, 0.0005261721777047668, -0.0014644352507127748, 0.0018037181890092624, 0.00021183752251102827, -0.0003122409242236841, 0.0002682532133824986, -0.0010889070678950074, 0.0024767863833015085, -0.0011637773992841296, -0.0002346002274886963, 0.0035697015960170085, -0.0008640871581642761, -0.0002798843509201511, -0.0005622964835767561, 0.00036919222377389683, 0.0015644755054716967, -0.0005201705185042597, -0.00040964136570777746, 0.001348902097875413, -0.0013153943011921334, 0.0003276179425841821, 6.258356691829977e-05, -0.0029560210300985106, 0.0008608914977829955, 0.000198289548102994, 0.0005776917488304031, -0.0021744781009566208, 0.0016961093528725046, -0.00012202335009538106, 0.0009518237545513933, 0.0010085457620440084, -0.0005427358525181347, 0.0031478087595096524, -7.291542062862393e-05, -0.0009203218409630198, -0.0007585137789376447, -0.003524247048666565, 0.0021334042000671917, -0.00016113022142720431, -0.000445849392623417, 0.0007586782235433403, 0.0004430773068807354, -0.0009609480492394118, 0.00035697349321408195, 0.0017719351866600126, 0.0020497097131770533, -0.0020205180584804932, -0.0030391392959158215, -0.0008545163293138753, 0.0005346872301026339, -0.0005670056240418557, 0.0004737445852694107, -0.0004033279078473084, -0.002631477962442505, 0.00038698289932327196, -0.00028434274213969267, -0.0010991823493329705]"
332,"[0.0007325865978491507, -0.0015590004657588467, -0.000288044267500933, 0.002473066543367164, 0.00024808855283895396, 0.0027976240485015126, -0.001441251977917833, 0.0016346073178995634, -0.001302086347711792, 0.0020769553037778134, -0.0004893435834234126, -0.0005115275567675211, 0.0006573935574670917, 0.0009487018729325362, 0.0016773881594196866, -0.0024150554786777547, 0.0011427833010141542, 0.0002523587887601545, -0.0014843483000694412, 0.0003437087321454024, -0.0014986912186276946, 7.602454425247812e-05, 0.0006603264636579704, -0.0008995637200623742, -0.0004141577609150947, 0.0022328027273578817, -0.0029312433861908922, 0.0029800112785452505, 0.0012900621537552555, -0.0018951872365706895, 0.0003614691728110587, -0.001484679159790964, -0.0009797074676099584, 0.0031223947897716484, 0.00032761899812776887, -0.0006209952940934372, 0.0005844427711227245, -0.000907633862198114, 0.0007423289978430163, -0.00020978966617104432, -0.0001356449717200052, 0.000658005299307021, 0.00033763901012951337, 0.002568610709980128, -0.0011485604353963137, 0.0028095412995606, -0.0012944584677241813, 4.3213939357404546e-05, 0.0015985039082714613, 0.0009400535298228447, 0.00024627461077621524, 0.00044336823639003355, -0.0009493863982883394, 0.00048193687330040516, -0.000300199191590077, 0.0006814713610779274, 0.00023703132014674444, -8.500826823647843e-06, -0.0012368398804060178, -0.000744508343569172, -0.0021435837918512427, 0.00023923205163635413, 0.0018718509297271123, -0.0008701473568892353, 0.0010480340343574518, 4.1580250957847986e-05, 0.00032089722289116435, 0.0008307286554389608, 0.0020727547235407998, 0.0015454554680311317, -0.0008147570514752186, 0.0035875918411370643, 0.0012174831978103509, -3.823905384992495e-05, 0.002144829291480565, 0.00012520335851290908, 0.0004566512714841851, -0.001040593944493455, -0.00023094218708995584, 0.0014256243700264272, 0.00022128042018861534, -0.0011491133581774697, 3.3268543794179175e-05, -0.0018619720643767068, -0.0010266741743416416, 0.0015849956666957289, 0.00244234033301073, -0.0012737250053393213, -0.0006445661578005912, -0.0014542918320871643, 0.0015973677536381375, -0.0012001022699029203, 0.0019781625368805768, 0.00127130223261135, -0.00016558590575378504, 0.0007577833867367519, 0.0022629846042528734, -0.0003755994830311932, -0.0009606180903405014, 0.0008641390010563797]"
329,"[0.0007559794643412895, 0.00046913258434225577, -0.0038259663829620654, -0.00038367922918831486, 0.0011614819783219773, 0.0010273474872646176, -0.0013575802259995972, 0.0014839782565980928, 0.0005565968534329157, -0.0013978841504151366, 0.0005685092647516505, -0.00026120361285350183, -0.00031855150346272407, 0.0009643354172800236, -0.001807712125046088, -0.0013107221521770857, -0.00038922307931791005, 0.0019160426582079007, -0.001499819632193968, 0.0014356838566651374, 0.0004791170201444933, 0.0010614073103194996, 0.0008956986938088723, -0.0008362996945907505, -0.0014191431529212437, -0.000644866416964112, 0.0009664340663692629, -0.0026998902037035323, -0.0005472172240607322, -0.00016133197706221547, -0.0025050220408975826, 0.00014960715285162646, 0.0006989806992187986, -0.00012450034219264132, 0.001803683291093304, 0.001582785773658488, -0.0005756850907217801, 0.00046585204258905224, 0.00023434667529718752, -3.054461207397434e-05, 0.0007777195072062395, 0.0014855146815435797, -0.002682601480852316, -0.0006879773723441825, -0.00036276964516806983, 0.0019776391103346973, -0.0003080886132881288, -0.0013090639030643259, -0.0002562466009261728, -0.0024351335554733036, -0.00011850562821091342, -0.0010016323784985922, 0.000113395228350397, 0.00038676560360368295, -0.000951007506644551, -0.0010071320151127466, -0.001824275681411091, 0.0018503680645554398, 0.0017847685447382362, 0.0017054662047527693, 0.0007470128281786437, 0.0010618042125555341, -0.0017654236562286369, -0.0012555174933777345, 0.0003999945129637308, -0.00106251096508649, -0.0015972276455040143, 0.002127311661954911, 0.001985604976205295, -0.0016878334906621417, -0.0009578919768563098, -0.0005012245086567853, -0.0009762286260335422, -0.000521645735330653, 0.000814311369067283, -0.0008185361375531687, -0.0002532521628909395, 0.00023887866365074535, 0.0011752609739795626, 0.0004049554742824328, 0.00015317972865613207, -0.004147257734799105, -0.005197075030370723, -0.002207629810856409, 0.0019570763737868377, 0.001401910554073902, -0.0004624951955334171, -0.0011187396886512045, 0.0014449872559907696, 0.0017777938787703633, 0.0005849911391654159, 0.0006045965418509405, 0.002518920155761284, 0.0002852913631288215, 0.0011748781866959134, -0.0009019030981767418, 0.00106295209120701, 0.0012025337076778406, 0.0013367588552238485, 0.0003346048997237936]"
325,"[0.0004484376542301033, 0.0015501441458129924, -0.0004397541969755229, 0.0005197669180809411, 0.0019592421938107157, -0.0022466404866618044, 0.0009481888842821846, 0.001818912709171527, -0.0016504547645860362, 0.0039742840187202665, 0.0008555596743148752, 0.000653893634289328, 0.0008620635169796325, 0.0006472310874150601, 0.001745498502790699, 0.0015540514171018289, -0.0009455774144549061, 0.0003823410408770544, -0.0005142864939050322, 0.00027501818666834563, 2.1543147759476513e-06, -0.0015589603366249784, -0.0013325008899506355, 0.00266527323266357, -0.0011724127040529458, -0.0007836764126174471, 0.0015964391003104343, -0.002053990964958604, -0.0004935940406919747, 0.0006055149634666364, -0.00019766929846047363, -0.0020072728891422837, 0.0025263730416157705, 0.002949435464276277, 0.00116241990898995, 0.0001189490055802236, 0.0024283630497678836, 0.0006966186986126806, -0.0012739838689248852, -0.0008313806630295529, -0.0007611116748235243, 0.0008131135863680124, 0.0017937855421703308, 0.001906693415675368, -0.0008112369916213952, 6.273818658169054e-05, -0.0019645071486225694, -0.001078779349593593, 0.0011643596325454743, 0.0015168586475293967, -0.0007374966328684175, -0.0007691247717966449, -0.0020033345337519323, -0.0005983984747137713, 0.001573880553009891, 0.0009697696402822752, 0.002616255808430008, -0.0016150949306628715, -1.8266187251476678e-05, 0.001088386136317584, 0.0013533069048827877, 0.0031313988215232232, 0.0015436506491900263, 0.00046481431040518113, 0.0013755101013356384, -0.00016591055356611272, 0.0007075149331971939, -0.001487531252659981, 0.0004907178955830921, 0.0023752231088994295, 0.00042486636117123775, -0.0006183472203968892, 0.0029767748569966197, -0.0015111938925271462, -0.0008945121112258734, 0.001113194381049063, 0.0002565450111945598, -0.0022380941701441283, -0.0025305857705208933, -0.0005094566544576855, 0.002230340797092293, -0.0009314646851408003, -0.0006712367019739797, -5.7399120061444894e-05, -0.002923917893777209, -0.0009187119134557845, 0.0009763745825257446, 0.0004404492344199546, -0.0011843774655097355, 0.0022385330893041214, 0.0002133541514363589, -0.0007943205824832646, -0.001209445768209484, 0.0028121332638175725, -0.0012982448980044625, -0.0014223857211029887, -0.0014520235402594272, 0.00048623983431143604, 0.0015921011069807206, 0.0010857247644906532]"
322,"[0.0006550826021074268, -0.0003077860497260702, 0.0010189354260010755, 0.0013202729091483655, 0.0011670755907328145, 0.0016106189181662096, 0.00039370220982265795, -0.0012874095228509691, 0.001144226769766139, 0.0004740680408383375, 0.001259485877364042, -0.002270396327292635, -0.0009546721921061233, -0.0030142903463477406, -0.0014170573838380616, 0.0017341676124516764, 0.000542872456844379, 0.0010141597911250586, -0.0010748171792613534, -0.00036488121119783733, -0.0017070494418162032, 0.0012411122286506311, -1.3070302208039977e-05, 2.4603050834470674e-05, 0.0009256703117421868, 0.0022168697892680053, -0.0007906370069228246, -0.0025939650564847008, -0.001968032862294427, -0.0029693670199822434, 0.00365646091041412, 0.0020126107429161814, -0.001896084861827609, -0.0018638595241225215, -0.003192074013099401, -0.0009117079527954352, -0.0036564178616051582, 0.0018282004834614368, 0.0017745365175257175, 0.0019272526232292264, -0.0005930329504280096, 0.0018969774681856049, 0.0010404987043599425, -0.000486206893419076, 0.00205913462398744, 0.0019710102723635896, 0.0002519554851382582, -0.0010919376086894438, 9.100978443648507e-05, -0.0016455683102743575, 0.0009794505164455543, -0.0025104181259160284, 0.0002905842192704628, -0.0002702972529580218, 0.002705382442223266, -0.0007292314694854158, -0.0005303259886700294, -0.0015071529557170017, 0.0005676158596913342, 0.0004178990946533883, 0.002333297471750007, -0.0002026538034689475, -0.0009122925987415487, -0.0010829152451729655, -0.0005312117116572057, -0.0023598739715081055, -0.0018509056749581225, -0.0017756790358263094, 9.70477204849387e-05, -0.0018890149259644055, -0.0005029604355095507, -0.000625056799941336, -0.002208417267146941, -0.0005215102343908343, 0.00011711197021792607, 0.000539157780133222, -0.00100813177378288, -0.0012245851731845848, 5.562805289410605e-05, 0.003224978346802135, 0.0008351969105722605, 0.000444031233328111, -0.0015685076859612377, -0.000870114941864738, 0.0005655395531135686, 0.0016076794207994848, -0.0023989888474420357, -0.0005972128397147272, 0.0008243374502249079, -0.0012309568524455727, 0.002002781370878709, 0.0012269252032897778, 0.0006485088769555553, 0.002339381629952272, 0.00021684056209134693, -0.00021426327702490404, -0.0010390102912402554, -0.0007054757005674826, -0.00036087452946733506, 8.271803020969251e-05]"
319,"[0.0015020721588038194, -0.001427797440090908, 0.001912083086769604, 0.0012724422377198466, -0.00036528115852655453, 0.00018715227105339788, 0.003696445645092597, 0.0010904735293659467, 0.0014992417966737163, -0.002419125636753845, 0.0033115685579641436, -0.0005747172192071784, -0.003105259261445925, -6.753407544423516e-05, 0.00010654593553822435, 0.002006159588912956, -0.0014418113536089178, -0.0012343489167203397, 0.00018170717449992555, 0.0009734742770997634, -0.0020430837553067, 0.0007299506098360901, 8.476121129314263e-06, 0.0011102403343782653, -0.000918827332369363, 0.002033234561407161, -0.0014476822760223225, -0.0005406220586769181, 0.0009957837598090708, -0.0031520317692845345, -0.0006712702021946776, 7.823280236278402e-05, -0.0015648251415960274, -0.001234362367238594, -0.0004851685119485227, -0.0004450141363310643, 0.002138911623907606, 0.00023875096449977185, 0.0005814642562986546, 0.001593247917622313, -0.0016747193166996748, -3.0937251874708094e-05, -0.0014861881501291845, -0.0021286422047378977, 0.0015620737505158758, 0.0012899941662178895, -0.001333248214636258, -2.7389398816629405e-05, 0.00261292594040191, 0.002533449837390067, -0.002312858939623677, -0.0007199274349311962, -1.275320227054045e-05, -0.0008752184829227137, -0.0001408379044215547, -0.0007047072875907371, 0.0016826563834118182, 0.0012748898722710835, -0.0007619996056170599, 0.0009106232193452294, -0.0028201745646827953, 0.0015477764138565441, -0.002221051471743637, -0.001463592110233597, -0.0028352439300993824, -0.0016413525985421243, -0.000814587940398276, 0.000871468232105451, 0.0002412496701189366, -0.0005340098205939349, 8.995158805129638e-05, -0.002140818690672876, -9.928774980107857e-05, 0.0009249975982778416, 0.00043734371361140546, -0.0005672534109430785, 0.0002653321657928595, -2.1900138768720446e-05, -0.001302107285754374, -0.003052154983907279, 0.00036817193061811397, -0.002578974511821353, 0.000547746224136265, 0.00028206553727549874, 0.0013136345758401782, -0.0004725806909833918, -0.0015329289125342105, -0.00047931367144357054, -0.0033268277914022836, 0.0013881449981026786, 0.0002449990107274186, -0.0012946070167191778, 0.00114489643540827, -0.0013953060448127605, 0.0007067022303601426, 2.0306717294944444e-05, 0.0028949250896823336, 0.0004883968881049469, -0.0007015550745835141, -0.000250685045526176]"
315,"[0.00020849777719181124, 0.0017226975187407923, 0.0012613926951088711, -0.0020266739274539315, -0.0026541406585525304, 0.0011486451591852357, -0.0009064245315193384, -0.0009309187633288716, 0.0015830914452078962, 0.0024198550666972895, 9.77509884001607e-05, 0.001993338837122329, -0.001470874209353486, 0.0004190050729595007, -0.0031867680184371125, -0.0023451805790839944, -0.0017441841329826967, 0.00212241780185206, -0.0033557302819225677, -0.001403710592530356, 6.09722043909569e-05, 0.0006966158380935479, -0.0015771633211483116, -0.0018914550512456193, -0.0008302272488739699, 0.0015192753015682648, -0.0012626729509314534, 0.00044199967869954285, 0.0008071044238779696, 0.0006496177023976146, 0.00035487320535142983, -0.0008118669112036717, 0.00013394027085178375, -0.0004192106978074511, 0.0024581824364300585, -0.0012330047914481934, -0.0008272679736533331, -0.0010307676640521183, -2.379190595922881e-05, 0.0004548213177022556, -0.0027560650050132167, 0.0005398591511453323, -0.001908291316874142, -0.0006740358054903064, -0.001906148733229903, 0.0011829917513983337, -0.0021843134269568442, 0.0014133060440912313, -0.0006846114720441775, -0.003002338614633197, -0.0019962498062169863, 0.00040451073526928796, 0.0008642411171853693, 0.0011290040851826473, 0.0017608613056957357, 0.000251564604793052, -0.001521405704098378, -0.0011552408477237554, -0.0009767848138863013, 0.0030265858651482226, 0.0023510725330257824, 0.0008054482338012786, 0.0007127335802688181, -0.0025915762383489772, 0.0010081171233333212, -0.0011039684278928152, 0.00014138961800097132, 0.0029592120142813223, 0.0012615386430780157, -0.0008435361343993772, 0.0028274888113876935, 0.0015499704827005546, -0.0011699235756438265, -5.012952260201674e-05, -0.00018723001474189337, 0.0015628002682046575, -0.0006596648053032442, 0.0018627056307640995, -0.0006560192663335313, 0.002451089779273924, -0.0015539320953700672, 0.000426564704313931, 0.0014745016086834927, -0.0018526044407839017, -0.0005030428766417939, -0.0014739348101176527, -0.00017969853492572874, 0.0025059477426492773, 0.0014424214680619255, -2.984757538361143e-05, -0.0008421047754646864, 0.0003421552293081113, 0.0011990078955314944, -7.506482453308135e-05, 0.001207150260233897, 0.00035515165503620486, -7.498422870080054e-05, -0.001499798321343167, 0.0012987785377838745, -0.0015633395351509446]"
312,"[0.00015230740336362843, 0.0031739507312028587, -0.0005153230503612619, -0.001028130936462595, 0.00103932871578913, 0.00041351713360113023, 5.69730561682161e-05, 0.0005956116631917932, -0.00119787595839713, 0.001230219206855526, 0.003750044575692852, -0.00046912276112872, 0.00018630142656535825, 0.0019452186892211767, 0.0006703331877994639, -0.0007544425524982472, -0.004249439571316389, 0.0009588624210611423, -0.002495437240488916, -0.00042749359666564466, -0.002554315462550717, -0.0015936326677269002, -6.305464109004189e-05, -0.0013662909458172585, -0.001525345965520879, 0.0015495598535210393, 0.00017052667936530766, -0.0006290140932124206, -5.357199009809508e-05, -0.0011265964153482444, -0.0031363793389213787, -0.00042669276191898304, -0.0012813937566873144, -0.0021012843052803064, -0.0014456193191682801, -0.0014582753410162924, -0.0009404388714733541, 0.0015196495125929161, -0.0009705593369328256, -0.0006069036643872779, 0.0008192927568951318, -7.790212958323367e-05, 0.0021157247775641535, -0.0006645254390172558, 0.000661612592565582, -0.0024334816342394387, -0.002473655404361232, 0.001108056578227875, -0.0012925828196062668, 0.0036525589125403564, 0.0017475015716770226, -0.0006241063432586675, 0.00037210215590267767, 0.0014908111292508946, -0.0007902736534727012, -0.0006197046219801318, -0.0009360738203684103, 0.0022838246662609946, 0.0004800431168776583, 0.0015134253539431644, -0.001902832976247471, 0.0007477074487589713, 0.0012237413765412782, -0.0002751707511720387, -0.0031180321766947163, 0.0022064304461094637, -0.0009099225901125158, -0.000479472752200083, 0.0007428476105462481, 0.0014624188090846446, 9.578069924195334e-05, 0.0020149777361592415, 0.0010347267196118772, -0.0012404610551294737, -0.0006104107733013335, -0.0005704880989389242, -0.0016967816621101179, -0.001174440281986888, -0.0006580821083927846, -0.0009233577636530748, -0.0004332848251329891, -0.00011435022622235572, 0.0004977565213180098, 0.002938091265894865, -0.0008821079884439796, 0.0012008341424735857, 0.0011072451281977306, -0.00027824245647965583, -8.374055590120747e-05, -0.0016109949750344032, 0.00013929546343859002, -0.0027170484798995083, -2.043232989626917e-05, -0.0005097126452076733, -0.0004966403845100823, -0.0013008678215948074, -0.002015824155346534, 0.0016869594377627649, -0.0009639889721906798, -0.0006269884368040493]"
308,"[-5.493740641853958e-05, -0.0009335659474057336, -0.00033725727803422443, -0.0019254414685477496, -0.0008501236279021534, 0.0026360904579900055, -0.001738979324755765, 0.0003886719140443216, -0.0011434712777628436, 0.0017544124100475822, -0.000696614612206568, 0.001092405443856122, -0.0018920501710114489, 0.0008046128992436613, 0.0016906766812749218, -0.0018329756545683708, 0.00242275017539266, -0.0008756946719326447, 0.000708580695948199, 0.0007435473222096464, 6.556522943014194e-05, -0.0019322663443535383, -0.0010355579576883424, -0.0010698662012915837, -0.0010804948711525756, -0.0009461800177151067, 0.0009745635929629215, -0.0008122393055625622, -0.0010830741841517022, -0.0036402222070028517, 0.00047474612564743355, -0.00026976810725753026, 0.0010826592295758628, -0.00011543113850961235, 0.001381053061161351, -0.00024467051562866086, 0.0019350819501373928, 0.0010452523755506446, 0.0005005094315014299, -0.0027749088608318823, 7.18925004654604e-05, -0.0017086162051185958, -0.003225455571695454, -0.00022556084642291795, 0.0029205147156165386, -0.0006886209372766151, 0.003321665494619902, -0.0031783350748867986, 0.0020046807823398075, 0.00014482501096883777, -0.0021357404177870837, 0.0008651760703283532, -0.0008511562703225989, 0.002513606939159788, 0.0029822092268052386, 0.0016613116371378832, -0.001244394823412731, 0.0006441154879414048, 0.00020400435158815207, 0.0004614285812813676, -0.0010074375371276712, 0.0017443243130689154, 0.0006692570919998122, -0.0020815506374331355, 0.0011217938594968112, 0.00048288431171349236, 0.0004004045477292433, 0.0008728282255925477, 0.0002613137540628018, -0.001623202081154932, 0.003612346567047666, 0.00016965196878673502, 0.0011861455909102556, 0.00024513741074089885, -0.0003367784265729724, -0.0012262537160965146, -0.0012347184751083954, -0.000588017474658291, 0.0005681956825687887, -0.0012464056025657054, 0.0008500275999207286, 0.0006354076834984314, -0.0004438782374279978, -0.0007344525669672446, 0.0006564474936578146, 0.00042075203713911604, -0.0006241822486746461, 0.0017708447551941747, 0.0023176018567368437, 3.7238397626254844e-05, -0.0007754210449060232, 0.0007779025961316093, -7.016396307187603e-05, 0.0034418604240348642, -0.002203845361795042, 0.0005397662874744298, -0.001071947352824894, -0.002062988471017857, -0.001823055992649596, 0.000740002710610312]"
305,"[0.0015848085119199544, -0.0015973635653060455, 0.001474966054925493, 0.0006071179127874101, 0.0020351796270871953, -0.0007289968648963943, -0.0006487049115304073, 0.0010884420716968954, 0.0010196027901132774, -0.002757577959426227, 0.0012946600552511873, -0.00032180014464843826, 0.0004328257660292902, 0.0005956629173220361, 0.00045081942186338844, 0.00048139719321994823, -0.0013143607954045084, 0.0024256440712017175, -0.0005733782776837917, -0.0003494210858355107, -2.017259054297961e-05, -0.0006876209160823841, 0.0008573084457274062, 0.003874887556865109, 0.0016033206021981686, -0.0013112383579782327, -0.0006882192580774365, 0.0006247253479299318, -0.002598390421329465, 0.00023303606151229376, -0.0016304161675859707, -0.0009584287392331368, 0.00012132458147309894, 0.002368431026079818, 0.00016912451273327081, 0.0019788906041545507, -0.0008457343943552016, -0.0015930865830948357, 0.00012153195638079147, 0.0006377172766632435, -0.000990129283670771, 0.0014396561518709274, -0.00038348222841527263, -0.0014946615706398598, -0.0013808273111622941, -0.0029264676734067096, -0.0001558016895363462, -0.0014896468905812755, 0.00042455091281023256, -0.0027318248030986252, 0.0017198720248348747, -0.0005710171800847155, -0.000679885021981661, -0.0022984179142464486, -0.002377344509046948, 0.0006084263087825485, -0.00025508204048208086, -0.0010608404425014777, 0.0007446777228860505, 0.000718841542948404, -0.0014509760937453289, -0.0018848023435952452, 0.001750831429047658, 0.0003253583548038481, -0.0009926197347801644, -0.0019814737705281635, -0.0005336302196893357, 9.23079464787855e-05, 0.0018290063064720745, 0.0021516071697827927, 0.0003076679863105416, 0.0004791206005134828, -0.002079149467633732, -0.00111022182089812, 0.00046560100570027196, -0.0015468817638880751, 0.00210462528546629, -0.0013074398021219252, 0.0004527618345072578, -0.0009209192525070548, -0.0009825829211847024, -0.0012286398956588458, 0.0005759119110458069, -0.0012319824727403167, -0.002565022532297306, -0.0005711092462391534, -0.002416693176215588, -0.0017394799417332738, -0.002277273945545293, 0.0011776429558707485, 0.0006752188439128512, -0.00022985678905305306, 0.0009717579382236232, 0.0005858161289744115, -0.0013229405019202047, 0.003258148015402834, 0.003285289863646781, 0.0017140897763651894, -0.0007572187766793013, 0.0014958029053517869]"
