clique size,fraction correct
140,1.0
138,1.0
137,1.0
135,1.0
134,1.0
133,1.0
131,1.0
130,1.0
128,0.99
127,0.49
126,0.47
124,0.46
123,0.52
121,0.54
120,0.5
119,0.52
117,0.47
116,0.5
114,0.49
113,0.49
112,0.49
110,0.47
109,0.55
107,0.46
106,0.5
105,0.52
103,0.47
102,0.49
100,0.53
99,0.5
98,0.48
96,0.53
95,0.5
94,0.5
92,0.52
91,0.52
89,0.52
88,0.5
87,0.48
85,0.53
84,0.47
82,0.47
81,0.49
80,0.54
78,0.5
77,0.48
75,0.46
74,0.51
73,0.52
71,0.54
70,0.51
68,0.51
67,0.52
66,0.48
64,0.51
63,0.47
61,0.49
60,0.5
59,0.54
57,0.51
56,0.53
54,0.52
53,0.46
52,0.48
50,0.53
49,0.52
48,0.49
46,0.53
45,0.5
43,0.54
42,0.48
41,0.54
39,0.5
38,0.48
36,0.47
35,0.53
34,0.52
32,0.51
31,0.5
29,0.51
28,0.51
27,0.47
25,0.51
24,0.5
22,0.46
21,0.51
20,0.48
18,0.47
17,0.48
15,0.57
14,0.53
13,0.48
11,0.5
10,0.54
8,0.51
7,0.51
6,0.52
4,0.49
3,0.5
2,0.47
